,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': -7.675670656493494e-09, 'ltable_title': -6.116544853867494e-10, 'ltable_venue': 4.5128142688010915e-09, 'ltable_year': -2.3909621626236207e-09, 'rtable_authors': 2.289802631961971e-09, 'rtable_title': -4.3330891578090045e-09, 'rtable_venue': -1.5270456168124667e-09, 'rtable_year': 2.5941413851655786e-09}",0.0,33.02485114696901,0.0,[0.94722492 0.05277508],1133-19588,landmark
1,"{'ltable_authors': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'ltable_year': 0.0, 'rtable_authors': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",0.0,25.11124248895794,0.0,[0.94985129 0.05014871],1829-59186,landmark
2,"{'ltable_authors': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'ltable_year': 0.0, 'rtable_authors': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",0.0,25.93309515703004,0.0,[0.94683524 0.05316476],1953-5130,landmark
3,"{'ltable_authors': -8.684819094090353e-33, 'ltable_title': -3.253145853976993e-33, 'ltable_venue': 2.0988751461047638e-32, 'ltable_year': 3.533871689936079e-33, 'rtable_authors': -4.563708928416747e-33, 'rtable_title': -1.9744557855262692e-33, 'rtable_venue': 1.0784181017843132e-33, 'rtable_year': 4.451206876387247e-33}",0.0,23.536128564970568,0.0,[0.94946826 0.05053174],2310-28595,landmark
4,"{'ltable_authors': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'ltable_year': 0.0, 'rtable_authors': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",0.0,36.505560904042795,0.0,[0.94616238 0.05383762],1845-48451,landmark
5,"{'ltable_authors': -2.424983896955396e-09, 'ltable_title': 1.3700608286461352e-09, 'ltable_venue': -2.377945950700695e-09, 'ltable_year': 3.189318086598064e-11, 'rtable_authors': 2.449582097255964e-09, 'rtable_title': -1.7082685427828666e-09, 'rtable_venue': -6.573256821143649e-10, 'rtable_year': 8.108440850565342e-10}",0.0,24.94794563599862,0.0,[0.952878 0.047122],211-2457,landmark
6,"{'ltable_authors': -1.3682010331455612e-09, 'ltable_title': -1.4684007563017287e-09, 'ltable_venue': -4.5900915672156304e-10, 'ltable_year': 1.4598906873922945e-09, 'rtable_authors': -1.783309321744999e-09, 'rtable_title': -8.471143552774194e-10, 'rtable_venue': 3.4161277730793304e-09, 'rtable_year': -6.773215418334927e-10}",0.0,28.571179302991368,0.0,[0.9479098 0.0520902],652-31280,landmark
7,"{'ltable_authors': 2.8902744705944337e-33, 'ltable_title': 4.066200617994172e-33, 'ltable_venue': 4.1941631797447417e-33, 'ltable_year': -5.735274314053029e-33, 'rtable_authors': -1.0132686633652013e-32, 'rtable_title': -2.222572896504678e-33, 'rtable_venue': 1.1809598665428075e-32, 'rtable_year': 2.400188098626518e-33}",0.0,20.510262258001603,0.0,[0.9485686 0.0514314],1532-60672,landmark
8,"{'ltable_authors': -8.970956752544954e-10, 'ltable_title': 2.3135859088119158e-09, 'ltable_venue': 3.3216129854956384e-10, 'ltable_year': 1.934759215211977e-09, 'rtable_authors': -4.763907430507894e-10, 'rtable_title': 5.894307039376373e-10, 'rtable_venue': -7.609067265277029e-10, 'rtable_year': -1.0812995206203455e-09}",0.0,26.77193141891621,0.0,[0.95261511 0.04738489],1991-30712,landmark
9,"{'ltable_authors': -1.1766532409647313e-09, 'ltable_title': 6.373966537113805e-10, 'ltable_venue': 7.471145874770215e-10, 'ltable_year': -5.885479501078853e-10, 'rtable_authors': -1.0323281900551813e-09, 'rtable_title': -1.2392855413207821e-11, 'rtable_venue': -1.9173739892055947e-10, 'rtable_year': 4.459293112404522e-10}",0.0,19.639156025019474,0.0,[0.95042187 0.04957813],1712-41920,landmark
10,"{'ltable_authors': -1.4544694200236461e-09, 'ltable_title': 1.926482272079018e-09, 'ltable_venue': -1.247876653048667e-10, 'ltable_year': 4.5288298895024563e-11, 'rtable_authors': 1.9192375407963014e-09, 'rtable_title': -2.6735791613728436e-12, 'rtable_venue': -1.52883043141219e-09, 'rtable_year': 5.827155623981942e-10}",0.0,22.513324289000593,0.0,[0.93015972 0.06984028],709-45026,landmark
11,"{'ltable_authors': 7.062701460150045e-34, 'ltable_title': 1.0985960837145012e-34, 'ltable_venue': -1.7397703328365218e-33, 'ltable_year': 2.7079006626928963e-33, 'rtable_authors': -2.6785480346034225e-33, 'rtable_title': 8.726650854425295e-33, 'rtable_venue': 4.347428925587907e-33, 'rtable_year': 1.4660692732052615e-33}",0.0,16.523485151003115,0.0,[0.94943464 0.05056536],2295-8559,landmark
12,"{'ltable_authors': -1.917472424651351e-32, 'ltable_title': 2.50929270835769e-34, 'ltable_venue': 7.540108640474029e-33, 'ltable_year': -4.959892804253435e-33, 'rtable_authors': 5.8310135788692727e-33, 'rtable_title': 1.1543563737234571e-32, 'rtable_venue': 9.736214948016283e-33, 'rtable_year': 5.065575047313329e-33}",0.0,21.98842606297694,0.0,[0.9513854 0.0486146],2579-42314,landmark
13,"{'ltable_authors': 9.331176066606754e-33, 'ltable_title': -8.083919191225198e-33, 'ltable_venue': -2.1511593038670983e-33, 'ltable_year': -7.609577302341328e-34, 'rtable_authors': 5.171238410234432e-33, 'rtable_title': 2.9722632470919538e-33, 'rtable_venue': 3.324109082094508e-33, 'rtable_year': -4.4358395411583735e-33}",0.0,19.557990874978714,0.0,[0.95306837 0.04693163],696-46108,landmark
14,"{'ltable_authors': 1.57475746913554e-09, 'ltable_title': -1.6398124374035819e-09, 'ltable_venue': -3.1669877770753086e-10, 'ltable_year': 3.66040402865567e-09, 'rtable_authors': -3.630879872788441e-09, 'rtable_title': 5.10915973959279e-09, 'rtable_venue': -1.040671943062975e-08, 'rtable_year': 1.5800204766583758e-09}",0.0,22.245691513991915,0.0,[0.95000538 0.04999462],659-12273,landmark
15,"{'ltable_authors': -1.3239302823694973e-09, 'ltable_title': 4.931150645502512e-10, 'ltable_venue': -1.0784183058579853e-09, 'ltable_year': -5.328809918792941e-10, 'rtable_authors': 3.3113704738069587e-09, 'rtable_title': 3.3706025903230404e-10, 'rtable_venue': -9.236945052896713e-10, 'rtable_year': 1.4427510885282146e-09}",0.0,22.255508868955076,0.0,[0.94882316 0.05117684],612-42439,landmark
16,"{'ltable_authors': 3.740486602874895e-10, 'ltable_title': -3.517987709027258e-10, 'ltable_venue': -1.3743450927179552e-09, 'ltable_year': 3.9480223444963055e-09, 'rtable_authors': 4.508846127204605e-09, 'rtable_title': -5.566529242615264e-09, 'rtable_venue': 3.84818864216438e-09, 'rtable_year': -2.235247106732303e-09}",0.0,18.921640738029964,0.0,[0.9470554 0.0529446],2185-10241,landmark
17,"{'ltable_authors': -3.490566634471449e-09, 'ltable_title': 1.6205103752517828e-09, 'ltable_venue': 7.149252309598659e-10, 'ltable_year': -6.476014310828448e-11, 'rtable_authors': 6.0395315273224574e-09, 'rtable_title': -7.773677750591426e-09, 'rtable_venue': 6.571438735057554e-10, 'rtable_year': -7.872302907886289e-10}",0.0,22.553077017888427,0.0,[0.59482402 0.40517598],980-58492,landmark
