,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': -1.2233688382972656e-06, 'ltable_title': -1.1439584637290572e-05, 'ltable_venue': -1.5354958437168334e-05, 'rtable_authors': 1.0953260256706509e-05, 'rtable_title': -2.023084690811317e-05}",0.0,0.7011801729677245,0.0,[9.999993e-01 7.221879e-07],1133-19588,mojito-d
1,"{'ltable_id': -1.4705578561329462e-06, 'ltable_title': -5.34512489059458e-07, 'rtable_authors': -9.379601126773769e-07, 'rtable_id': -8.61249738660658e-07, 'rtable_title': -9.148169357159988e-07, 'rtable_venue': -7.578281090786505e-07}",0.0,0.6077672640094534,0.0,[1.0000000e+00 4.6601906e-12],1829-59186,mojito-d
2,"{'ltable_authors': -0.003723753548925372, 'ltable_title': -0.000241042140899037, 'ltable_year': -0.00045761910574323, 'rtable_authors': -0.011356524003403283, 'rtable_title': 0.013836260539671807, 'rtable_venue': -0.010206738841839206}",0.0,0.7795026499661617,0.0,[1.0000000e+00 6.6702543e-10],1953-5130,mojito-d
3,"{'ltable_authors': -0.0009233175033189924, 'ltable_title': -0.0008282352131782347, 'ltable_venue': -0.0009864068721673158, 'rtable_authors': -0.0009509689708299314, 'rtable_title': -0.0006461521959099818}",0.0,0.6839826130308211,0.0,[1.0000000e+00 3.9000937e-14],2310-28595,mojito-d
4,"{'ltable_authors': -0.01232870354323673, 'ltable_title': -0.023268438959033876, 'ltable_venue': 0.06853416736309279, 'rtable_authors': -0.02577344020083212, 'rtable_id': 0.05199004577499703, 'rtable_title': -0.041642898033767195, 'rtable_venue': -0.03964775528906499}",0.0,0.6167915319674648,0.0,[9.9972636e-01 2.7357868e-04],1845-48451,mojito-d
5,"{'ltable_authors': -0.0026236313431642236, 'ltable_id': -0.04519434360277822, 'ltable_title': -0.004912009330835866, 'rtable_authors': -0.011820764127380425, 'rtable_title': 0.00875844231526}",0.0,0.6353569669881836,0.0,[0.9946155  0.00538449],211-2457,mojito-d
6,"{'ltable_authors': 0.2118184751118987, 'ltable_title': 0.08592638081387016, 'ltable_venue': -0.17706464039006437, 'rtable_authors': 0.10209365205365732, 'rtable_title': 0.12249298805365068, 'rtable_venue': -0.16505014750109503}",1.0,0.8242300639976747,1.0,[4.389083e-06 9.999956e-01],1360-11549,mojito-d
7,"{'ltable_authors': -0.0009457175252920048, 'ltable_title': -0.0020537773688854735, 'rtable_authors': -0.0012891104201282818, 'rtable_venue': 0.0008862549156660298}",0.0,0.6188530789804645,0.0,[1.0000000e+00 6.3903726e-17],652-31280,mojito-d
8,"{'ltable_authors': -0.026897381731072208, 'ltable_title': 0.03785491735000733, 'ltable_venue': -0.06874768276449167, 'ltable_year': -0.01602644895960589, 'rtable_authors': 0.02822002257282143, 'rtable_title': -0.0162895735624663, 'rtable_venue': -0.04042882958771063}",0.0,0.6217115019680932,0.0,[0.9763316  0.02366842],1532-60672,mojito-d
9,"{'ltable_id': -0.10383951761363501, 'ltable_title': -0.006909926794209526, 'rtable_authors': 0.005262691420027003, 'rtable_title': 0.03563008443981455, 'rtable_venue': -0.02662272662482521}",0.0,0.5851061439607292,0.0,[0.9913039 0.0086961],1991-30712,mojito-d
10,"{'ltable_title': -0.00018864187513374653, 'ltable_venue': -0.06053283017716591, 'ltable_year': 0.09629539878414442, 'rtable_authors': -0.04250039058070483, 'rtable_id': 0.10113929169156707, 'rtable_title': -0.03943622049105128, 'rtable_venue': -0.05671488554213516}",0.0,0.5884567640023306,0.0,[0.99259984 0.00740015],1712-41920,mojito-d
11,"{'ltable_authors': -0.005115970777789841, 'ltable_title': -0.004179931388719953, 'rtable_authors': -0.004614506917229372, 'rtable_title': -0.003704525027935194, 'rtable_venue': -0.004943662794805761}",0.0,0.6556961099850014,0.0,[1.000000e+00 7.078995e-12],709-45026,mojito-d
12,"{'ltable_authors': -0.04671730427508815, 'ltable_id': 0.07187941960772241, 'ltable_title': -0.013425298304242939, 'rtable_authors': 0.005857869537972123, 'rtable_id': 0.06283631533793559, 'rtable_title': 0.03644753125332754, 'rtable_venue': 0.013364641964187747}",0.0,0.6245336319552734,1.0,[2.9093241e-07 9.9999976e-01],2579-42314,mojito-d
13,"{'ltable_authors': -0.02019162319492392, 'ltable_id': -0.0486428237780399, 'ltable_title': 0.02333299291290047, 'ltable_venue': 0.06626489312167101, 'ltable_year': -0.03489373090816954, 'rtable_authors': -0.022727030655645967, 'rtable_id': -0.029776111429331637, 'rtable_venue': -0.03195634865645546, 'rtable_year': -0.0156140018513207}",0.0,0.5969333670218475,0.0,[9.9999976e-01 2.8686640e-07],696-46108,mojito-d
14,"{'ltable_authors': -0.0020861553512325753, 'ltable_title': -0.0016641019499788392, 'ltable_year': -0.0008982754900074074, 'rtable_authors': -0.0019680899771813963, 'rtable_title': -0.0010682047306914172}",0.0,0.6204028110369109,0.0,[1.0000000e+00 1.8599196e-22],659-12273,mojito-d
15,"{'ltable_authors': 7.145868195677646e-05, 'ltable_id': -0.00010977353317072807, 'ltable_title': 5.703137010748081e-05, 'ltable_venue': -0.0001307612626796766, 'rtable_authors': -6.356856510112915e-05, 'rtable_title': 0.0001609733355567868, 'rtable_venue': -0.00018119149112614375}",0.0,0.6167725269915536,0.0,[9.9999905e-01 9.4809815e-07],612-42439,mojito-d
16,"{'ltable_title': 0.01564829333096795, 'rtable_authors': -0.019418861642630597, 'rtable_title': -0.017219905433050426}",0.0,0.6044594930135645,0.0,[1.0000000e+00 1.2359571e-22],2185-10241,mojito-d
17,"{'ltable_authors': -0.01959684262687406, 'ltable_id': 0.04941323200380984, 'ltable_title': -0.028388933983251936, 'ltable_venue': -0.022790312786870194, 'ltable_year': 0.047210175599529204, 'rtable_authors': -0.010964070723277347, 'rtable_id': -0.00768790645262872, 'rtable_title': -0.022245401260392737}",0.0,0.6423976789810695,0.0,[9.9996078e-01 3.9220875e-05],980-58492,mojito-d
18,"{'ltable_authors': -0.008718140232977166, 'ltable_title': -0.007479378984931529, 'ltable_venue': 0.025455239482268445, 'rtable_authors': -0.008126955376484208, 'rtable_title': -0.010623483520709597, 'rtable_venue': -0.003405529425274419}",0.0,0.7098692110157572,0.0,[0.94626796 0.05373203],603-1832,mojito-d
19,"{'ltable_authors': -0.0005187280456823956, 'ltable_title': -0.0005115240413271882, 'ltable_venue': -0.0010253391266878836, 'rtable_authors': -0.0008297745933430183, 'rtable_title': -0.0019453818998653768, 'rtable_venue': -0.002099096075160089}",0.0,0.6152696349890903,0.0,[1.000000e+00 8.799179e-10],2310-35508,mojito-d
20,"{'ltable_authors': -0.048369787279117595, 'ltable_id': -0.08381710763778319, 'ltable_title': 0.09907453913948859, 'rtable_id': -0.08521359220332472, 'rtable_title': 0.003652759158547938}",1.0,0.5946208499954082,1.0,[8.4178528e-04 9.9915826e-01],1381-47050,mojito-d
21,"{'ltable_id': -0.0004295166461220915, 'ltable_title': -0.00038403655520059316, 'rtable_authors': -0.0005323550886643783, 'rtable_title': -0.0006305828670973644, 'rtable_venue': -0.000471629835920589, 'rtable_year': -0.0008604768979039625}",0.0,0.6528474889928475,0.0,[0.9989629 0.0010371],1084-26734,mojito-d
22,"{'ltable_authors': -2.877171819222811e-05, 'ltable_title': -2.7140211252087683e-05, 'rtable_authors': -8.548350876291928e-06, 'rtable_title': -1.8765620887044452e-06, 'rtable_venue': 4.254946569860307e-06}",0.0,0.9638263650122099,0.0,[0.99895006 0.00105001],1883-15003,mojito-d
23,"{'ltable_authors': -8.698546512688293e-05, 'ltable_id': -0.0003093502674158908, 'ltable_title': -0.00010582484980125224, 'ltable_venue': -0.00017464029261390107, 'rtable_title': 0.0003187296683016327}",0.0,0.6344873330090195,0.0,[1.0000000e+00 2.5752693e-21],2036-47255,mojito-d
24,"{'ltable_title': -0.00027380247496761316, 'rtable_authors': -0.00043835100711572713, 'rtable_id': 1.48298793476532e-05, 'rtable_title': 0.00024866036434052476, 'rtable_venue': -1.5635837862786176e-05, 'rtable_year': 0.00033064645561205723}",0.0,0.5734362509683706,0.0,[1.000000e+00 4.655152e-09],2588-7916,mojito-d
25,"{'ltable_authors': 3.725438291896125e-05, 'ltable_title': -4.4952633374740214e-05, 'rtable_authors': -1.1627083033624355e-05, 'rtable_title': -2.4770886495144556e-05, 'rtable_venue': -5.266627034965068e-05}",0.0,0.6174385320045985,0.0,[1.000000e+00 6.073278e-10],1435-59475,mojito-d
26,"{'ltable_authors': -1.86287770459755e-05, 'ltable_title': -5.766006979460927e-05, 'ltable_venue': -6.865819284880015e-05, 'ltable_year': -7.816497873836757e-05, 'rtable_authors': -4.115748413385401e-05, 'rtable_title': -3.855771147801163e-05, 'rtable_venue': -0.0001261628274310128}",0.0,0.7531581040238962,0.0,[1.000000e+00 9.178557e-10],800-29677,mojito-d
27,"{'ltable_authors': -0.007909761391839487, 'ltable_title': -0.00433149269587322, 'rtable_authors': -0.0006589151264251757, 'rtable_title': -0.006981680416697311, 'rtable_venue': -0.007871867155987108}",0.0,0.5844024319667369,0.0,[9.9979347e-01 2.0658156e-04],806-6887,mojito-d
28,"{'ltable_authors': -0.01863112167111597, 'ltable_id': 0.05901942541783074, 'ltable_title': 0.04119460701768274, 'ltable_venue': -0.02904770842533667, 'rtable_authors': 0.011402712532066175, 'rtable_title': -0.033900719034484564}",0.0,0.6131601309753023,0.0,[1.0000000e+00 8.6623885e-12],925-52718,mojito-d
29,"{'ltable_authors': -0.0015108718047557592, 'ltable_id': -0.0004778481104346923, 'ltable_title': -0.003416401472638488, 'ltable_venue': 8.503231671405611e-05, 'rtable_authors': -0.0035853226032598845, 'rtable_title': -0.003205347223003247}",0.0,0.6224560430273414,0.0,[9.9999785e-01 2.1001458e-06],1856-43531,mojito-d
30,"{'ltable_authors': 0.014545743996673341, 'ltable_title': -0.009271389945072093, 'ltable_venue': 0.015169452495812433, 'ltable_year': -0.08319342046653498, 'rtable_title': -0.010720281832977886, 'rtable_venue': 0.0024656684753774595}",0.0,0.6244639849755913,0.0,[9.9999964e-01 3.0356594e-07],74-40649,mojito-d
31,"{'ltable_id': -0.0005176638236039176, 'ltable_title': -7.501589302380516e-05, 'rtable_authors': -0.00028425317733961596, 'rtable_title': -0.00027516293837503026, 'rtable_venue': -0.0005315962720313565, 'rtable_year': -0.00041382622263154715}",0.0,0.643024914956186,0.0,[1.0000000e+00 2.6380729e-08],2538-15659,mojito-d
32,"{'ltable_authors': -0.00021724089554405704, 'ltable_title': 0.00015911151638012508, 'ltable_venue': -0.0016223884988449016, 'rtable_authors': -0.0005288362169529362, 'rtable_title': -2.7646327150304716e-05, 'rtable_venue': -0.0009472447565222008}",0.0,0.6263041290221736,0.0,[1.0000000e+00 2.8280873e-22],19-6261,mojito-d
33,"{'ltable_title': -0.012147912419598547, 'rtable_authors': -0.015617330155458981, 'rtable_title': -0.002709016614433691, 'rtable_venue': 0.02706158381751959, 'rtable_year': -0.02252519284689393}",0.0,0.6145309010171331,0.0,[9.9998534e-01 1.4680345e-05],1391-10963,mojito-d
34,"{'ltable_authors': -0.014500341531059249, 'ltable_title': -0.022796036327621276, 'ltable_venue': 0.08110990775872304, 'rtable_authors': -0.015812737971599527, 'rtable_id': -0.01574418509073285, 'rtable_title': -0.018542933443431674}",0.0,0.5583688819897361,0.0,[0.93812156 0.06187845],2113-4298,mojito-d
35,"{'ltable_authors': -0.0014960349764200865, 'ltable_id': -0.001617827214861258, 'rtable_authors': -0.0003580603948908121, 'rtable_title': -0.0007691966140721796, 'rtable_venue': -0.0016245690002746436, 'rtable_year': -0.0015163530679014894}",0.0,0.5753646829980426,0.0,[0.99024534 0.00975461],997-53122,mojito-d
36,"{'ltable_authors': 0.14128227989609446, 'ltable_id': 0.10220577775674504, 'ltable_title': 0.07710966864926258, 'ltable_venue': -0.26906418597741094, 'rtable_authors': 0.08022072025179423, 'rtable_id': 0.023376798877262562, 'rtable_title': 0.12175107169160418, 'rtable_venue': 0.1703013986779362}",0.0,0.5556538449600339,0.0,[0.9988967  0.00110327],667-8795,mojito-d
37,"{'ltable_authors': -0.00018609584098168002, 'ltable_id': -0.0001223937561046163, 'ltable_title': -3.055406333629931e-05, 'rtable_authors': -0.00013632291027660466, 'rtable_venue': -0.0002034443990678203, 'rtable_year': -5.723485769153829e-05}",0.0,0.7521388159948401,0.0,[1.000000e+00 3.012581e-10],2076-38242,mojito-d
