,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': 0.02222494367254161, 'ltable_title': -0.431339974898391, 'ltable_venue': 0.004415880588838485, 'ltable_year': 0.002570065297006631, 'rtable_authors': -0.025782778613679457, 'rtable_title': 0.20489180398307788, 'rtable_venue': 0.0505781815362335, 'rtable_year': 0.07220755934882953}",0.0,1.4260176650132053,1.0,[0.20027027 0.7997297 ],1133-19588,landmark
1,"{'ltable_authors': -8.542715417065765e-06, 'ltable_title': -2.593610420670591e-06, 'ltable_venue': 5.305892776752857e-06, 'ltable_year': -5.347354969856061e-06, 'rtable_authors': -5.524329024113844e-06, 'rtable_title': 5.4088448716656625e-06, 'rtable_venue': -6.322067745374582e-06, 'rtable_year': -4.407642873910057e-06}",0.0,1.485356193035841,0.0,[1.0000000e+00 5.0811544e-10],1829-59186,landmark
2,"{'ltable_authors': 0.011324119114368536, 'ltable_title': 0.050616292751981734, 'ltable_venue': 0.005908138605794029, 'ltable_year': 0.0021269763162809646, 'rtable_authors': -0.14274382114989173, 'rtable_title': 0.041158453026712956, 'rtable_venue': -0.00044978525653981756, 'rtable_year': -0.020829305956643465}",0.0,1.590537982992828,0.0,[1.0000000e+00 3.6535813e-11],1953-5130,landmark
3,"{'ltable_authors': 0.6809168796921478, 'ltable_title': 0.40275891820741694, 'ltable_venue': 0.079739343333801, 'ltable_year': -0.035433173129090105, 'rtable_authors': 0.15805480832404004, 'rtable_title': 0.17371818399404515, 'rtable_venue': 0.1553108039994196, 'rtable_year': 0.027088766556484626}",0.0,1.502839357999619,0.0,[1.0000000e+00 8.6104995e-12],2310-28595,landmark
4,"{'ltable_authors': 0.07952767417699858, 'ltable_title': 0.09014849982990365, 'ltable_venue': -0.12406280018632558, 'ltable_year': -0.04541815553535153, 'rtable_authors': 0.2000277223112753, 'rtable_title': -0.10481283579909104, 'rtable_venue': 0.014109057216401655, 'rtable_year': -0.010977660394192268}",0.0,1.531639549008105,0.0,[9.9999845e-01 1.5478515e-06],1845-48451,landmark
5,"{'ltable_authors': 0.1237582922537025, 'ltable_title': -0.27225560961164547, 'ltable_venue': -0.005014252301205845, 'ltable_year': 0.05358146615629592, 'rtable_authors': 0.1521127723231014, 'rtable_title': -0.3273442311175217, 'rtable_venue': 0.07420170250336448, 'rtable_year': -0.0539262279888209}",0.0,1.4524377770139836,0.0,[9.999999e-01 9.351887e-08],211-2457,landmark
6,"{'ltable_authors': 0.17042512026370638, 'ltable_title': 0.19800101530787156, 'ltable_venue': -0.003730475571544433, 'ltable_year': -0.029015655430183904, 'rtable_authors': 0.007348949988015026, 'rtable_title': 0.20709818376348843, 'rtable_venue': -0.011380718419745264, 'rtable_year': 0.025537101085302744}",1.0,1.5986819120007567,1.0,[9.716388e-10 1.000000e+00],1360-11549,landmark
7,"{'ltable_authors': -0.016822432472861668, 'ltable_title': -0.018560382916060648, 'ltable_venue': -0.005415015899095327, 'ltable_year': -0.0031762013642856676, 'rtable_authors': 0.022261822053518284, 'rtable_title': 0.011156534589574878, 'rtable_venue': -0.003076695361019747, 'rtable_year': 0.0076971991321707345}",0.0,1.3622564370161854,0.0,[1.0000000e+00 6.8207576e-13],652-31280,landmark
8,"{'ltable_authors': -0.10701274995661159, 'ltable_title': 0.22312802887437072, 'ltable_venue': -0.019530296838218407, 'ltable_year': -0.04227968893171641, 'rtable_authors': -0.05196375934464355, 'rtable_title': -0.10666289630011595, 'rtable_venue': -0.10541036869478462, 'rtable_year': 0.011508746446996832}",0.0,1.4779950380325317,0.0,[9.9983716e-01 1.6282922e-04],1532-60672,landmark
9,"{'ltable_authors': -0.21299087129160474, 'ltable_title': 0.12857453815809158, 'ltable_venue': -0.04960003586204344, 'ltable_year': -0.0638461218746288, 'rtable_authors': -0.0392447292304683, 'rtable_title': 0.16183438388949625, 'rtable_venue': 0.010503225455287462, 'rtable_year': 0.02061011355113094}",0.0,1.2070352130103856,0.0,[9.9999642e-01 3.5668565e-06],1991-30712,landmark
10,"{'ltable_authors': -0.017199928093776837, 'ltable_title': 0.01724170661564268, 'ltable_venue': 0.005190523196782518, 'ltable_year': -0.02277263505370199, 'rtable_authors': 0.013476437226163878, 'rtable_title': -0.008118514162578543, 'rtable_venue': -0.029021855160887986, 'rtable_year': -0.0034830150763292614}",0.0,1.4023414520197548,0.0,[1.0000000e+00 1.0929163e-12],1712-41920,landmark
