,explanation,type,latency,match,label,row,prediction
0,"{'ltable_authors': 0.3747666218873123, 'ltable_title': 1.5403249479850858, 'ltable_venue': 0.03467445568505212, 'ltable_year': 0.11493450338419652, 'rtable_authors': 0.2443129748430441, 'rtable_title': 0.5787908307027426, 'rtable_venue': 0.018366614459103547, 'rtable_year': 0.02175995627684295}",landmark,258.551046474,0.0,0.0,1133-19588,[9.9997914e-01 2.0917127e-05]
1,"{'ltable_authors': 0.39926095875998574, 'ltable_title': 2.0918641985369653, 'ltable_venue': 0.0789434194785779, 'ltable_year': 0.08590789739052836, 'rtable_authors': 0.279741726226211, 'rtable_title': 0.16130633442476194, 'rtable_venue': -0.09046046475242688, 'rtable_year': -0.09338761846060147}",landmark,253.48493211599998,0.0,0.0,1953-5130,[9.9997818e-01 2.1764585e-05]
2,"{'ltable_authors': 0.26006747879458675, 'ltable_title': 1.7034462220704798, 'ltable_venue': -0.13671753975027834, 'ltable_year': 0.13142365825320898, 'rtable_authors': 0.5525669644647601, 'rtable_title': 0.7831512711203447, 'rtable_venue': 0.016247528806347323, 'rtable_year': -0.059765139140356714}",landmark,262.50414243499927,0.0,0.0,2310-28595,[9.9998081e-01 1.9172054e-05]
3,"{'ltable_authors': 0.7856446768745579, 'ltable_title': 0.5264734577635721, 'ltable_venue': 0.008574224631723762, 'ltable_year': 0.001943676293906721, 'rtable_authors': 1.047378835612753, 'rtable_title': 0.7014482019393306, 'rtable_venue': -0.0076414575454039945, 'rtable_year': -0.06576067391270415}",landmark,265.2147188979998,0.0,0.0,1845-48451,[9.9997938e-01 2.0620393e-05]
4,"{'ltable_authors': 0.6975359693560239, 'ltable_title': 1.3692381234542979, 'ltable_venue': 0.17138774881680285, 'ltable_year': 0.08439724063725844, 'rtable_authors': 0.8686677796815672, 'rtable_title': 0.2749085152150229, 'rtable_venue': -0.018210513628875522, 'rtable_year': 0.048090297257495467}",landmark,265.82559906200004,0.0,0.0,211-2457,[9.9997890e-01 2.1136679e-05]
5,"{'ltable_authors': 0.655651323608204, 'ltable_title': 1.9590042404429153, 'ltable_venue': 0.16099847145579904, 'ltable_year': 0.14074294421293113, 'rtable_authors': 0.2292764623435528, 'rtable_title': 0.2492605009303863, 'rtable_venue': 0.1481768124937572, 'rtable_year': 0.023020630444587388}",landmark,241.67787155899896,0.0,0.0,652-31280,[9.9998057e-01 1.9413830e-05]
6,"{'ltable_authors': -0.0078008842023907276, 'ltable_title': 0.18406933129644815, 'ltable_venue': 0.004551348696581188, 'ltable_year': 0.15174060879095955, 'rtable_authors': 0.3202487289971961, 'rtable_title': 0.17099945705940564, 'rtable_venue': 0.19829208496919615, 'rtable_year': 0.016753356874501527}",landmark,302.7792215259997,0.0,0.0,1991-30712,[0.99486685 0.00513317]
7,"{'ltable_authors': 0.44878174652813596, 'ltable_title': 1.1759462444465967, 'ltable_venue': 0.050261403798735005, 'ltable_year': 0.24617237767084252, 'rtable_authors': 0.5730070564643394, 'rtable_title': 0.24264528231269128, 'rtable_venue': 0.14200727634148447, 'rtable_year': -0.04678456135200048}",landmark,233.01599459099998,0.0,0.0,1712-41920,[9.9996424e-01 3.5771023e-05]
8,"{'ltable_authors': 0.08942341235850643, 'ltable_title': 0.351620781791141, 'ltable_venue': 0.08811927770488581, 'ltable_year': 0.13744094829944825, 'rtable_authors': 0.14974445104645207, 'rtable_title': 1.7272319584148486, 'rtable_venue': -0.051553683361327124, 'rtable_year': 0.11763522898832962}",landmark,232.16556697799933,0.0,0.0,709-45026,[9.9996161e-01 3.8439463e-05]
9,"{'ltable_authors': -0.027105756065636498, 'ltable_title': 0.3241931502948943, 'ltable_venue': -0.0051455201273644295, 'ltable_year': 0.15296668554932139, 'rtable_authors': 0.24759016662613426, 'rtable_title': 0.6062418626581392, 'rtable_venue': 0.00762311254771195, 'rtable_year': 0.0057137481094332475}",landmark,230.55789996100066,0.0,0.0,2295-8559,[0.9934598  0.00654014]
