,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': -0.18537038087401603, 'ltable_title': -0.020612545402164777, 'ltable_venue': -0.018898380100753814, 'ltable_year': -0.00934355060493198, 'rtable_authors': 0.006279691400093381, 'rtable_title': 0.03165531730958798, 'rtable_venue': -0.038662717230736665, 'rtable_year': -0.01805730176144741}",0.0,1.7694306679768488,0.0,[9.999993e-01 7.221879e-07],1133-19588,landmark
1,"{'ltable_authors': 5.94925579630042e-06, 'ltable_title': 1.0696991210008822e-05, 'ltable_venue': 2.5500330284466074e-05, 'ltable_year': 2.930383040847217e-05, 'rtable_authors': -0.0001433032523198928, 'rtable_title': -0.00015004002333245326, 'rtable_venue': 0.0001766488333730106, 'rtable_year': 3.976129688993194e-05}",0.0,1.568628633976914,0.0,[1.0000000e+00 4.6601906e-12],1829-59186,landmark
2,"{'ltable_authors': 0.03291781256851202, 'ltable_title': -0.061570723547672145, 'ltable_venue': 0.006547277971668607, 'ltable_year': 0.02442407232519843, 'rtable_authors': -0.16045386791976413, 'rtable_title': 0.022181609013767707, 'rtable_venue': 0.04897590146807841, 'rtable_year': 0.016325138314814934}",0.0,1.7143477529753,0.0,[1.0000000e+00 6.6702543e-10],1953-5130,landmark
3,"{'ltable_authors': 0.05920892974548048, 'ltable_title': -0.08423044604568374, 'ltable_venue': 0.012338363128182164, 'ltable_year': 0.009521558556057085, 'rtable_authors': -0.037862576181162955, 'rtable_title': 0.003961969480074833, 'rtable_venue': 0.01708054866521139, 'rtable_year': 0.01569974887391716}",0.0,1.5676988630439155,0.0,[1.0000000e+00 3.9000937e-14],2310-28595,landmark
4,"{'ltable_authors': 0.0035420409774700448, 'ltable_title': -0.006599212001438891, 'ltable_venue': -0.003316490129758658, 'ltable_year': 0.006420658275185721, 'rtable_authors': -0.041418042680758445, 'rtable_title': 0.02196562551532225, 'rtable_venue': 0.016227620651710163, 'rtable_year': -0.00017284537376748444}",0.0,1.471658828028012,0.0,[9.9972636e-01 2.7357868e-04],1845-48451,landmark
5,"{'ltable_authors': -0.06001085719805416, 'ltable_title': -0.12786585791428312, 'ltable_venue': -0.077934001566451, 'ltable_year': 0.02235887344078657, 'rtable_authors': -0.22636478825981537, 'rtable_title': 0.027762110247067952, 'rtable_venue': 0.0451785458372725, 'rtable_year': 0.0021914802766722}",0.0,1.532120807969477,0.0,[0.9946155  0.00538449],211-2457,landmark
6,"{'ltable_authors': 0.3144088481235229, 'ltable_title': 0.28961108794952223, 'ltable_venue': -0.1547611765033275, 'ltable_year': 0.01412611659418403, 'rtable_authors': 0.5225095835974598, 'rtable_title': -0.10079225772436624, 'rtable_venue': -0.10592994833289766, 'rtable_year': -0.036069166868235567}",1.0,1.6692017819732428,1.0,[4.389083e-06 9.999956e-01],1360-11549,landmark
7,"{'ltable_authors': 0.002810062277101187, 'ltable_title': -0.024597475399590615, 'ltable_venue': -0.009082417774946647, 'ltable_year': 0.0032031473642114747, 'rtable_authors': -0.008096045091560294, 'rtable_title': 9.251602141978517e-05, 'rtable_venue': 0.013164494561800901, 'rtable_year': 0.00889610742332622}",0.0,1.4563265789765865,0.0,[1.0000000e+00 6.3903726e-17],652-31280,landmark
8,"{'ltable_authors': 0.005608602620426046, 'ltable_title': 0.006597515327863272, 'ltable_venue': -0.01870940411527505, 'ltable_year': -0.009445447917304717, 'rtable_authors': -0.056286126094474725, 'rtable_title': 0.004302133812386678, 'rtable_venue': 0.05745648178154096, 'rtable_year': -0.005055063777828266}",0.0,1.482610620034393,0.0,[0.9763316  0.02366842],1532-60672,landmark
9,"{'ltable_authors': -0.6391443619169891, 'ltable_title': 0.4443336916454951, 'ltable_venue': -0.09999453905468814, 'ltable_year': -0.05045024405768433, 'rtable_authors': -0.3145640960216387, 'rtable_title': 0.2613558211583222, 'rtable_venue': 0.04130595911338879, 'rtable_year': 0.14769406517689154}",0.0,1.754968444001861,0.0,[0.9913039 0.0086961],1991-30712,landmark
