,explanation,label,latency,match,prediction,row,type
0,"{'ltable_class': 0.009203372096274065, 'ltable_name': 0.010198998750850138, 'ltable_res_type': 0.0043055025115958665, 'rtable_addr': 0.0017440570431856695, 'rtable_city': 0.0038177463927249896, 'rtable_class': 0.02413714170698287, 'rtable_name': 0.002761930455924771, 'rtable_phone': 0.0028216554426260406, 'rtable_res_type': 0.004402777608142293}",0.0,3.191169518046081,0.0,[0.90349408 0.09650592],6-230,mojito-d
1,"{'ltable_addr': 0.0006080442103237626, 'ltable_city': 0.0040385975702816445, 'ltable_name': 0.005324381051623075, 'ltable_phone': 0.0016110361877416301, 'rtable_addr': 0.0014246584332716673, 'rtable_city': 0.002793107776368415, 'rtable_class': 0.003840362950380429, 'rtable_name': -0.003754120049547278}",0.0,3.0345138439442962,0.0,[0.95375401 0.04624599],501-214,mojito-d
2,"{'ltable_city': 0.02764123849142278, 'ltable_class': 0.19980498348617798, 'ltable_id': -0.023691216437902753, 'ltable_name': -0.00897924744543097, 'rtable_addr': 0.009828174384100871, 'rtable_city': 0.06966933645243943, 'rtable_class': 0.25831386810104173, 'rtable_id': 0.05627466223517561, 'rtable_phone': 0.008670510787703856, 'rtable_res_type': 0.02040896468576738}",1.0,3.261549155926332,1.0,[0.36446446 0.63553554],38-256,mojito-d
3,"{'ltable_addr': 0.00199916919859505, 'ltable_city': 0.002930383243567795, 'ltable_class': 0.0038223593780987385, 'ltable_name': 0.0012628152065205748, 'ltable_res_type': 0.002324161065207382, 'rtable_addr': 0.0015536794551489772, 'rtable_city': 0.003337769017872483, 'rtable_name': 0.0031715297768931975, 'rtable_phone': 0.0017830162697658664}",0.0,3.245260270079598,0.0,[0.9445025 0.0554975],384-300,mojito-d
4,"{'ltable_addr': 0.0011969792424064223, 'ltable_city': 0.002338533983249428, 'ltable_name': 0.0017570434484427827, 'ltable_res_type': 0.0008033721042412847, 'rtable_class': 0.0011049945803250055, 'rtable_name': 0.0009933975070521913, 'rtable_res_type': 0.0009096351041796146}",0.0,3.2495401309570298,0.0,[0.95554505 0.04445495],147-23,mojito-d
5,"{'ltable_addr': 0.028738018161414275, 'ltable_class': 0.09176233024851285, 'ltable_name': 0.05148899562822364, 'ltable_phone': 0.01814540988230877, 'ltable_res_type': 0.04295368464275763, 'rtable_addr': 0.02852770868615021, 'rtable_class': 0.1680496834462999, 'rtable_name': 0.021694970423114922, 'rtable_res_type': 0.009752335045459217}",1.0,3.1640216920059174,1.0,[0.49607301 0.50392699],83-301,mojito-d
6,"{'ltable_addr': 0.002522999694412056, 'ltable_class': 0.009164418871050859, 'ltable_id': 0.0031830116630967645, 'ltable_name': 0.0025883807220995147, 'rtable_city': 0.0026385324447744728, 'rtable_class': 0.006407577080698557, 'rtable_name': 0.0027291057003607767, 'rtable_res_type': 0.0018359520846272714}",0.0,3.2460217830957845,0.0,[0.93028991 0.06971009],90-148,mojito-d
7,"{'ltable_addr': 0.002662917228782355, 'ltable_class': -0.005562067684068221, 'ltable_id': 0.0014768230211365267, 'ltable_name': 0.0022007888961401356, 'ltable_phone': 0.0018693881839542512, 'ltable_res_type': 0.0023634481771904743, 'rtable_addr': 0.0008440347380667687, 'rtable_city': 0.0016359895413005363, 'rtable_class': -0.003966153061757256, 'rtable_name': 0.0029578801451113404, 'rtable_phone': 0.008847474836157916, 'rtable_res_type': 0.006762660368306497}",0.0,2.726867815013975,0.0,[0.94685426 0.05314574],197-251,mojito-d
8,"{'ltable_addr': 0.002647199591623712, 'ltable_city': 0.03424373411899447, 'ltable_class': 0.1329773859726305, 'ltable_id': 0.029354707137613692, 'ltable_name': 0.017359004468939645, 'ltable_phone': 0.015034334215516044, 'ltable_res_type': 0.03146207087758699, 'rtable_addr': 0.02374619113098996, 'rtable_class': 0.10581632333650655, 'rtable_name': 0.015253268534958033, 'rtable_res_type': 0.011727465068537474}",0.0,3.8728697190526873,0.0,[0.64563668 0.35436332],119-82,mojito-d
9,"{'ltable_addr': -0.0020916997224610643, 'ltable_class': -0.005345309255881097, 'ltable_name': -0.0022955278007037753, 'ltable_phone': 0.0023357966038642804, 'rtable_city': 0.0011746998241048186, 'rtable_class': -0.009014690208672805, 'rtable_name': 0.0017198182221566773, 'rtable_phone': 0.0026808422567131517, 'rtable_res_type': 0.004440488296605827}",0.0,3.4345129830762744,0.0,[0.96785193 0.03214807],143-0,mojito-d
10,"{'ltable_addr': -0.0010744131123326878, 'ltable_city': 0.001591445365530823, 'ltable_class': 0.0036108113384113586, 'ltable_id': 0.001533589238930832, 'ltable_name': -2.8890308615592123e-05, 'ltable_res_type': 0.0024338903228662587, 'rtable_addr': -0.0010127813522023662, 'rtable_city': -0.0017075753349956528, 'rtable_class': 0.005503692469335374, 'rtable_name': -0.0023503627969992057, 'rtable_phone': 0.0035533271722129915}",0.0,3.3225732559803873,0.0,[0.96586777 0.03413223],437-130,mojito-d
11,"{'ltable_addr': 0.002177634756212599, 'ltable_city': 0.0022820592822390645, 'ltable_id': 0.0030121934464284465, 'ltable_name': 0.0026213954746792884, 'ltable_res_type': 0.006354052093788274, 'rtable_city': 0.0013776313271134286, 'rtable_name': 0.003274673048842991, 'rtable_phone': 0.003705059279944666, 'rtable_res_type': 0.002919015471168437}",0.0,3.7234027090016752,0.0,[0.93110555 0.06889445],292-89,mojito-d
12,"{'ltable_addr': 0.0002567739300819575, 'ltable_city': -0.00046070263025721887, 'ltable_class': -0.0050207912565686155, 'ltable_name': 0.001108672670303694, 'ltable_res_type': 0.0006762701313316305, 'rtable_addr': -0.00046974408669252303, 'rtable_city': -0.0005890646460811856, 'rtable_name': 0.0010225685101000997, 'rtable_res_type': 0.0008852349743550395}",0.0,3.756176028982736,0.0,[0.97629416 0.02370584],431-288,mojito-d
13,"{'ltable_addr': 0.0016797222020619826, 'ltable_city': 0.0017703097506006156, 'ltable_class': -0.004496794231572865, 'ltable_name': 0.0026942207309655873, 'ltable_phone': 0.00015757368271679764, 'ltable_res_type': 0.001003299671269169, 'rtable_addr': 0.0015855810674141367, 'rtable_city': 0.0011168332819658203, 'rtable_class': -0.0019393923362055795, 'rtable_name': -0.002138330495966655, 'rtable_phone': 0.0021585703216729715, 'rtable_res_type': 0.00028131352490276323}",0.0,3.5062239640392363,0.0,[0.96560933 0.03439067],131-233,mojito-d
14,"{'ltable_addr': 0.0009805470445343892, 'ltable_class': 0.00351029139370018, 'ltable_name': -0.003749781161121853, 'ltable_phone': 0.00158275198356861, 'ltable_res_type': 0.0009610431369441027, 'rtable_class': 0.0030888536584701438, 'rtable_name': 0.004146094799534994, 'rtable_phone': 0.002331094924703252, 'rtable_res_type': 0.001797549716927025}",0.0,3.5689478300046176,0.0,[0.95238515 0.04761485],405-172,mojito-d
15,"{'ltable_id': 0.0006555865405230222, 'ltable_name': 0.004900991324528353, 'ltable_phone': 0.0011834388925558944, 'ltable_res_type': 0.002874894908630592, 'rtable_addr': 0.0011478317545721187, 'rtable_city': 0.0008936623394841017, 'rtable_class': -0.005882306512755264, 'rtable_id': 0.00044500230528639946, 'rtable_name': -0.001580860757434896, 'rtable_phone': 0.0025800454608930685}",0.0,3.8836299020331353,0.0,[0.96754368 0.03245632],92-308,mojito-d
16,"{'ltable_addr': 0.13670778756336896, 'ltable_class': 0.3094973619575143, 'ltable_id': 0.025192474641466404, 'ltable_name': -0.015100400668425915, 'ltable_phone': 0.08086027575593516, 'ltable_res_type': -0.06804754962843655, 'rtable_addr': 0.04972100393050154, 'rtable_class': 0.2142238871867094, 'rtable_id': 0.06726513226525137, 'rtable_name': 0.015430666437948236}",1.0,3.485971146961674,1.0,[0.29867607 0.70132393],84-302,mojito-d
17,"{'ltable_addr': 0.0035422982466481834, 'ltable_city': 0.0024718133428931247, 'ltable_class': 0.0026375914359435355, 'ltable_id': 0.003289276464409044, 'ltable_name': 0.0038159729155280864, 'ltable_phone': 0.002801297321002483, 'rtable_addr': 0.0024862987248104817, 'rtable_city': 0.002634519332273478, 'rtable_class': 0.0016714176453576748, 'rtable_name': 0.004048970026671669, 'rtable_phone': 0.0067512070665201995}",0.0,2.8892244830494747,0.0,[0.92361062 0.07638938],50-242,mojito-d
18,"{'ltable_addr': 0.013491833482335716, 'ltable_city': 0.007064579502551074, 'ltable_class': 0.04959259756595058, 'ltable_name': 0.00805979531333936, 'ltable_phone': 0.0032008916809838058, 'rtable_addr': 0.015426125295099506, 'rtable_class': 0.04075152267780674, 'rtable_name': 0.00025549578099502007, 'rtable_res_type': -0.006327661584805763}",0.0,2.999290254083462,0.0,[0.85773046 0.14226954],443-126,mojito-d
19,"{'ltable_addr': 0.0005751909815129818, 'ltable_city': 0.002391257257872679, 'ltable_class': -0.001280012015923258, 'ltable_id': -0.002410004648089914, 'ltable_name': 0.00544841234644538, 'rtable_addr': 0.0015151323213971769, 'rtable_city': 0.0022981338892403536, 'rtable_id': 0.002200672921283156, 'rtable_name': -0.002105423418699297, 'rtable_phone': 0.004354981614290582, 'rtable_res_type': 0.0013315359847171596}",0.0,3.428657328011468,0.0,[0.95866458 0.04133542],50-278,mojito-d
20,"{'ltable_city': 0.00018183111042267976, 'ltable_class': -0.007217405381432669, 'ltable_name': 0.0012404784922236832, 'ltable_res_type': 0.0008938625101071875, 'rtable_addr': -0.001038016357795494, 'rtable_city': -0.0008320059967275605, 'rtable_class': -0.0013238553046771503, 'rtable_phone': 0.0018235288961388682}",0.0,3.4769070339389145,0.0,[0.98000473 0.01999527],431-128,mojito-d
21,"{'ltable_addr': -0.003782581971240335, 'ltable_city': 0.0009087531897473481, 'ltable_name': 0.0011102159273329772, 'rtable_addr': -0.0009110998599927876, 'rtable_city': 0.00236593840046557, 'rtable_id': 0.0012814692540125178, 'rtable_name': -0.0003929436196390232, 'rtable_phone': 0.001692959717138595, 'rtable_res_type': 0.0026004629031952365}",0.0,3.4435115419328213,0.0,[0.97057172 0.02942828],433-123,mojito-d
22,"{'ltable_addr': 6.029905927716693e-05, 'ltable_city': 0.001091507475131664, 'ltable_class': 0.0009226980008849373, 'ltable_name': -0.0016446964663875613, 'rtable_addr': 0.0008481677087546907, 'rtable_city': 0.0008956916436429669, 'rtable_id': 0.0017039143867658322, 'rtable_name': 0.001492567915257964, 'rtable_res_type': 0.00016476337987183693}",0.0,3.329070794978179,0.0,[0.96924298 0.03075702],442-289,mojito-d
23,"{'ltable_addr': 0.000826011490897686, 'ltable_class': 0.014731974535162947, 'ltable_id': 0.002914064783048619, 'ltable_name': 0.0016812089642115912, 'ltable_phone': 0.003706779103627359, 'rtable_addr': -0.0059534307705820045, 'rtable_class': 0.00710287564389365, 'rtable_name': 0.0005134911291375151, 'rtable_phone': 0.0026922362996387368}",0.0,3.1574706769315526,0.0,[0.94066527 0.05933473],410-295,mojito-d
