,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': 2.0735240698728403e-17, 'ltable_id': 2.6724560116132647e-16, 'ltable_title': -3.2170360304331337e-17, 'ltable_venue': -6.240493566224633e-17, 'ltable_year': 3.408194954582657e-17, 'rtable_authors': -2.5740989609202873e-18, 'rtable_id': -5.589550706371428e-17, 'rtable_title': -2.7454614597158733e-17}",0.0,0.9440789070213214,0.0,[9.999993e-01 7.221879e-07],1133-19588,mojito-c
1,"{'ltable_id': -5.214730444067935e-26, 'ltable_title': 4.981675655813081e-27, 'ltable_year': 2.864016148955e-26, 'rtable_authors': 8.376485912802974e-27, 'rtable_id': -1.2624880639327373e-25, 'rtable_title': 6.22512243780213e-28, 'rtable_venue': 6.912688711797384e-28, 'rtable_year': 6.757168945961623e-26}",0.0,0.9004931809613481,0.0,[1.0000000e+00 4.6601906e-12],1829-59186,mojito-c
2,"{'ltable_authors': 4.441437738634983e-22, 'ltable_id': 1.816801369541724e-21, 'ltable_title': -2.6723151061811926e-22, 'ltable_venue': 5.329293713324031e-21, 'ltable_year': -9.235667033482585e-21, 'rtable_authors': -8.692648079462641e-22, 'rtable_id': 1.1097082103410702e-20, 'rtable_title': 3.3293725155176216e-22, 'rtable_venue': -3.07183793558691e-22}",0.0,1.1673192689777352,0.0,[1.0000000e+00 6.6702543e-10],1953-5130,mojito-c
3,"{'ltable_authors': 2.483863708384212e-30, 'ltable_id': 1.375642627137708e-29, 'ltable_title': -4.161544000720726e-30, 'ltable_venue': -3.616684683806115e-30, 'ltable_year': -3.807909830805659e-30, 'rtable_authors': 2.0510173859155156e-30, 'rtable_id': -2.4934956133791463e-29, 'rtable_title': 6.328164535768335e-30}",0.0,0.8873001619940624,0.0,[1.0000000e+00 3.9000937e-14],2310-28595,mojito-c
4,"{'ltable_authors': 4.461433313520037e-17, 'ltable_id': 1.3199919870861967e-15, 'ltable_title': 3.3488861552098824e-17, 'ltable_venue': -3.780225972154246e-16, 'ltable_year': 4.2142464109476406e-16, 'rtable_authors': -2.6966282085221133e-16, 'rtable_id': -9.847117903076785e-16, 'rtable_title': -2.9663587929128847e-16, 'rtable_venue': 9.83579075193194e-17, 'rtable_year': 1.7723437929132026e-15}",0.0,0.959018467052374,0.0,[9.9972636e-01 2.7357868e-04],1845-48451,mojito-c
5,"{'ltable_authors': 1.5448455331360796e-17, 'ltable_id': -1.8822331097401073e-16, 'ltable_title': -4.1015976344898484e-18, 'ltable_venue': 9.078962078280585e-17, 'ltable_year': 1.917831893830654e-16, 'rtable_authors': -2.1642544222460312e-17, 'rtable_id': -3.249809426113138e-17, 'rtable_title': -2.9571095055440003e-17, 'rtable_venue': -5.2187714131173616e-17, 'rtable_year': -6.79899454262687e-17}",0.0,0.9227516599930823,0.0,[0.9946155  0.00538449],211-2457,mojito-c
6,"{'ltable_authors': 0.0, 'ltable_id': 0.0, 'ltable_title': 0.0, 'ltable_venue': 0.0, 'ltable_year': 0.0, 'rtable_authors': 0.0, 'rtable_id': 0.0, 'rtable_title': 0.0, 'rtable_venue': 0.0, 'rtable_year': 0.0}",1.0,1.4015706999925897,1.0,[4.389083e-06 9.999956e-01],1360-11549,mojito-c
7,"{'ltable_authors': 4.121190834736101e-24, 'ltable_id': -1.2520995651080787e-22, 'ltable_title': -2.486879927963474e-23, 'ltable_venue': 9.150570348014696e-23, 'ltable_year': 2.883964669580768e-22, 'rtable_authors': -1.1853330512954969e-22, 'rtable_id': -8.25888348482316e-23, 'rtable_title': -8.231579955185859e-23, 'rtable_venue': -7.768858377552181e-26}",0.0,0.837498372013215,0.0,[1.0000000e+00 6.3903726e-17],652-31280,mojito-c
8,"{'ltable_authors': -1.524282859162204e-13, 'ltable_id': 4.0839589489665147e-13, 'ltable_title': -1.128515792039163e-13, 'ltable_venue': 6.476176066019722e-14, 'ltable_year': -6.328036557025128e-13, 'rtable_authors': 3.902052079017693e-14, 'rtable_id': 5.780410288682116e-13, 'rtable_title': -2.7283740630609968e-14, 'rtable_venue': 1.6556722688035168e-14, 'rtable_year': 2.0043846620056296e-13}",0.0,0.9167153569869697,0.0,[0.9763316  0.02366842],1532-60672,mojito-c
9,"{'ltable_id': -3.5751853730431657e-14, 'ltable_title': -2.7595488218821803e-14, 'ltable_year': -1.561961029424524e-14, 'rtable_authors': 4.823362379043862e-15, 'rtable_id': 1.724675281825672e-13, 'rtable_title': -2.5179779133375034e-14, 'rtable_venue': 2.8030359709185174e-14}",0.0,0.6056875769863836,0.0,[0.9913039 0.0086961],1991-30712,mojito-c
