,explanation,label,latency,match,prediction,row,type
0,"{'ltable_addr': -0.33687677075373035, 'ltable_city': 0.035308380932088684, 'ltable_class': -0.08415957238764783, 'ltable_name': 0.009285656160625638, 'ltable_phone': 0.0482997005490271, 'ltable_res_type': 0.07061583268025162, 'rtable_addr': -0.06602863923817605, 'rtable_city': 0.09215119691661569, 'rtable_class': 0.00493672869585971, 'rtable_name': 0.10388401066660854, 'rtable_phone': 0.0021125615975047356, 'rtable_res_type': -0.057417858708512}",0.0,1.6696215129923075,0.0,[9.999378e-01 6.220429e-05],6-230,landmark
1,"{'ltable_addr': 0.0001560607704502736, 'ltable_city': -0.0030405729000333595, 'ltable_class': -0.0002100301289482215, 'ltable_name': -1.4091518142712503e-05, 'ltable_phone': -0.002206859897370112, 'ltable_res_type': 0.0015282842765567755, 'rtable_addr': -0.005723056760828375, 'rtable_city': -0.0017105110668961634, 'rtable_class': 0.0008174768213572571, 'rtable_name': 0.0039959507950484445, 'rtable_phone': 0.0007344920911763512, 'rtable_res_type': 0.0006300797925803214}",1.0,1.5677945159841329,0.0,[0.76932174 0.23067825],38-256,landmark
2,"{'ltable_addr': 0.7421136005903535, 'ltable_city': -0.029074202209118966, 'ltable_class': 0.12722492875680022, 'ltable_name': 0.10048700112796831, 'ltable_phone': -0.03485347661726544, 'ltable_res_type': -0.010917015383337765, 'rtable_addr': 0.4530486411846626, 'rtable_city': -0.026922947323890598, 'rtable_class': -0.005502910545783939, 'rtable_name': 0.17910276916175652, 'rtable_phone': 0.01967591874517077, 'rtable_res_type': -0.005923708585738416}",0.0,1.5657538690138608,0.0,[9.9999928e-01 6.9638764e-07],384-300,landmark
3,"{'ltable_addr': 1.122099824464674, 'ltable_city': -0.018233906452277324, 'ltable_class': 0.1657747246456997, 'ltable_name': 0.06988872514355922, 'ltable_phone': -0.08176517286276917, 'ltable_res_type': 0.03831568446437021, 'rtable_addr': 0.8368038418913996, 'rtable_city': 0.0907771931562476, 'rtable_class': 0.14586811063091432, 'rtable_name': -0.044567240768681064, 'rtable_phone': -0.015074465770250782, 'rtable_res_type': -0.022994137645563205}",1.0,1.5359182760003023,1.0,[0.37733126 0.62266874],83-301,landmark
4,"{'ltable_addr': 0.144331969929419, 'ltable_city': -0.1056718063957915, 'ltable_class': 0.04085023096710077, 'ltable_name': -0.09193101765816505, 'ltable_phone': 0.01722787402035795, 'ltable_res_type': 0.02804410508582067, 'rtable_addr': 0.0775734956661583, 'rtable_city': -0.044399234223474526, 'rtable_class': 0.0075318963815378, 'rtable_name': 0.0206466318915159, 'rtable_phone': -0.002389277876335333, 'rtable_res_type': -0.03188647272964296}",0.0,1.5029149370384403,1.0,[0.15864874 0.8413513 ],197-251,landmark
5,"{'ltable_addr': 0.18842201317956592, 'ltable_city': -0.05960303452863334, 'ltable_class': 0.017678890967784876, 'ltable_name': -0.15686643934855557, 'ltable_phone': 0.015468116498926316, 'ltable_res_type': -0.04020103182414782, 'rtable_addr': 0.17495697508616317, 'rtable_city': -0.07578433776788673, 'rtable_class': 0.06445805989367309, 'rtable_name': -0.04258465416198015, 'rtable_phone': -0.023088338404453318, 'rtable_res_type': 0.01177395610867881}",0.0,1.631882631976623,0.0,[0.99141836 0.00858165],42-275,landmark
6,"{'ltable_addr': 0.2865432403665999, 'ltable_city': 0.020813552639703428, 'ltable_class': 0.08296808350354393, 'ltable_name': -0.008326860999026322, 'ltable_phone': -0.016811235836299385, 'ltable_res_type': 0.016558746241821024, 'rtable_addr': -0.266718331558418, 'rtable_city': -0.01873076312951709, 'rtable_class': 0.010372109764312269, 'rtable_name': -0.021691937740252513, 'rtable_phone': 0.019948606499593808, 'rtable_res_type': -0.012628202049083291}",0.0,1.607859214011114,0.0,[0.97759163 0.02240838],131-233,landmark
7,"{'ltable_addr': -0.03616028742730648, 'ltable_city': -0.027978304474990827, 'ltable_class': 0.0178430541968543, 'ltable_name': 0.021572712477193563, 'ltable_phone': -0.005844844680637202, 'ltable_res_type': 0.005101676970288133, 'rtable_addr': -3.811887875413344e-05, 'rtable_city': -0.014496698143169687, 'rtable_class': -0.0010946435486194235, 'rtable_name': 0.0007769824939853629, 'rtable_phone': 0.008083775721555575, 'rtable_res_type': -0.0177182667109525}",0.0,1.402857425971888,0.0,[0.9880199 0.0119801],50-242,landmark
8,"{'ltable_addr': -0.0022055006988255625, 'ltable_city': 0.02389956484408537, 'ltable_class': -0.016422231493114253, 'ltable_name': 0.06595625381700987, 'ltable_phone': -0.042373065360398955, 'ltable_res_type': -0.017092293436656754, 'rtable_addr': 0.01967736156129396, 'rtable_city': 0.06932880190230922, 'rtable_class': 0.0010247003814046769, 'rtable_name': -0.05114399202717558, 'rtable_phone': 0.016733458203892687, 'rtable_res_type': 0.003145396191132995}",0.0,1.554615123954136,0.0,[9.9999404e-01 5.9652912e-06],443-126,landmark
9,"{'ltable_addr': -0.0021786863301707445, 'ltable_city': -0.0008746969592383557, 'ltable_class': -0.0055713593013327, 'ltable_name': 0.006744038680382001, 'ltable_phone': -0.0019873490824713616, 'ltable_res_type': 0.0013108117617121617, 'rtable_addr': -0.005126324630815261, 'rtable_city': -0.0019531233781815266, 'rtable_class': 0.0005722092957556159, 'rtable_name': -0.01253098302718176, 'rtable_phone': -0.005931254306380682, 'rtable_res_type': -0.008444981139038897}",0.0,1.6851131500443444,0.0,[9.9997973e-01 2.0255420e-05],442-289,landmark
