,explanation,label,latency,match,prediction,row,type
0,"{'ltable_id': 0.07501573824724331, 'ltable_title': 0.07092452333767073, 'ltable_venue': -0.08165459535703055, 'rtable_title': 0.1734826197877438}",0.0,0.5480359999928623,0.0,[9.9912018e-01 8.7979605e-04],1133-19588,mojito-d
1,"{'ltable_id': -5.48165408103065e-05, 'ltable_title': -2.9683551063518412e-05, 'rtable_authors': -3.787650373659722e-05, 'rtable_title': 5.458531480920494e-05, 'rtable_venue': 1.0957123014327508e-07}",0.0,0.5831879129982553,0.0,[1.000000e+00 3.985818e-10],1829-59186,mojito-d
2,"{'ltable_id': 0.022504881963171155, 'ltable_title': -0.02211770732654847, 'rtable_authors': -0.010276941802661005, 'rtable_title': 0.035923292892190976}",0.0,0.7277165760169737,0.0,[1.00000e+00 7.91536e-16],1953-5130,mojito-d
3,"{'ltable_authors': 0.0003329068541294589, 'ltable_id': -0.00014469759283988512, 'ltable_title': -0.00019419160475913686, 'ltable_year': -0.00022558233348756053, 'rtable_title': 6.392833131474852e-05}",0.0,0.5555126199615188,0.0,[1.000000e+00 5.883325e-10],2310-28595,mojito-d
4,"{'ltable_title': -0.0006283932290265619, 'rtable_authors': -0.0007148358703426188, 'rtable_id': 0.0003824156801732797, 'rtable_title': 0.0001240413181277461}",0.0,0.5973971179919317,0.0,[9.9975139e-01 2.4864628e-04],1845-48451,mojito-d
5,"{'ltable_title': 7.479526600789105e-05, 'ltable_venue': -0.0010939651300559464, 'rtable_authors': -0.0005890497092262121, 'rtable_id': 0.0004485187480267088, 'rtable_title': -4.219740323802817e-05}",0.0,0.5599720869795419,0.0,[1.0000000e+00 4.4026516e-10],211-2457,mojito-d
6,"{'ltable_id': -0.18143612139854595, 'ltable_title': 0.090005763146421, 'rtable_authors': -0.12916482033774654, 'rtable_title': 0.026191015828555236, 'rtable_year': -0.07987218670969566}",1.0,0.7125182769959792,1.0,[1.9935524e-06 9.9999797e-01],1360-11549,mojito-d
7,"{'ltable_authors': 0.0009483855638290193, 'ltable_title': 0.0020483550920395795, 'rtable_title': -0.004557632694504997}",0.0,0.5461118430248462,0.0,[1.0000000e+00 1.3492621e-09],652-31280,mojito-d
8,"{'ltable_id': 0.05183486130758782, 'ltable_title': 0.04212620488067759, 'rtable_title': -0.015308407864478535, 'rtable_venue': -0.03964121680990251}",0.0,0.5570536449667998,0.0,[9.9984372e-01 1.5627727e-04],1532-60672,mojito-d
9,"{'ltable_id': -0.11000767334293543, 'ltable_title': 0.0898182901943813, 'rtable_id': 0.08807468796565046, 'rtable_title': 0.10541802480004603, 'rtable_venue': -0.045253475860677135}",0.0,0.5208845649613068,0.0,[9.999994e-01 5.810913e-07],1991-30712,mojito-d
10,"{'ltable_title': -0.009069634893432084, 'rtable_title': 0.008703573457185011, 'rtable_venue': 0.021958717107904355}",0.0,0.5459344880073331,0.0,[9.9999917e-01 8.0738164e-07],1712-41920,mojito-d
11,"{'ltable_title': -0.005763682505112744, 'ltable_venue': 0.010096315547882475, 'rtable_authors': -0.003417034066055676, 'rtable_title': -0.002792353570724116, 'rtable_venue': -0.002254134159026426}",0.0,0.5982527949963696,0.0,[1.000000e+00 3.826137e-12],709-45026,mojito-d
12,"{'ltable_title': -0.007789027287234396, 'ltable_year': 0.034929412437593045, 'rtable_title': 0.03626767646116684, 'rtable_venue': 0.0405273286140401}",0.0,0.5692619510227814,1.0,[0.18316323 0.8168368 ],2579-42314,mojito-d
13,"{'ltable_title': 0.00030562442062931615, 'rtable_authors': -0.016284466515198517, 'rtable_id': -0.03158602649483561, 'rtable_title': 0.013363595019382118, 'rtable_venue': -0.009440471897077002}",0.0,0.5664095079991966,0.0,[9.9982941e-01 1.7056528e-04],696-46108,mojito-d
14,"{'ltable_title': -5.711415363756978e-05, 'rtable_authors': -0.0001315747450152325, 'rtable_title': -3.9317531304140206e-05, 'rtable_venue': -1.722415718951186e-05}",0.0,0.579963714000769,0.0,[1.000000e+00 9.172815e-14],659-12273,mojito-d
15,"{'ltable_id': -0.013179782495630257, 'ltable_title': 0.0014674509138982578, 'rtable_authors': -0.011019361368739395, 'rtable_title': 0.003353543489404357, 'rtable_year': -0.007918303166007723}",0.0,0.5941843779874034,0.0,[9.9999714e-01 2.8416687e-06],612-42439,mojito-d
16,"{'ltable_id': -0.00083273754442063, 'ltable_title': -0.0010286690801289417, 'rtable_title': 0.000318097047900218, 'rtable_venue': 9.740172499120494e-05}",0.0,0.551084570994135,0.0,[9.99885082e-01 1.14927025e-04],2185-10241,mojito-d
17,"{'ltable_title': 0.034855636169937775, 'rtable_title': -0.05187540544683424}",0.0,0.5655687960097566,0.0,[1.000000e+00 3.468475e-08],980-58492,mojito-d
18,"{'ltable_id': -0.009920791515506986, 'ltable_title': 0.0034809291410190443, 'rtable_title': -0.005209586557495444, 'rtable_venue': -0.03738229814681123}",0.0,0.612775681016501,0.0,[1.000000e+00 2.398012e-10],603-1832,mojito-d
19,"{'ltable_authors': -0.0006930120384588639, 'ltable_title': -0.0008869670870319055, 'rtable_title': -6.425897893021236e-05}",0.0,0.5970988589688204,0.0,[1.0000000e+00 2.2134638e-13],2310-35508,mojito-d
20,"{'ltable_authors': 0.07595254753720278, 'ltable_id': -0.12240709796586033, 'ltable_title': 0.09542134742608646, 'rtable_authors': 0.06020161050199971, 'rtable_title': -0.007196343006365794}",1.0,0.5792267109500244,0.0,[0.787292   0.21270798],1381-47050,mojito-d
21,"{'ltable_title': -0.0006309718207357257, 'rtable_authors': -0.00019885370480509816, 'rtable_title': -0.0001432492010920208}",0.0,0.6035690659773536,0.0,[1.0000000e+00 1.1740934e-14],1084-26734,mojito-d
22,"{'ltable_title': -7.780377899312696e-06, 'rtable_title': -5.2428623445954904e-06, 'rtable_venue': -1.0176556729505511e-05}",0.0,0.58394010795746,0.0,[1.0000000e+00 5.1935774e-15],1883-15003,mojito-d
23,"{'ltable_authors': -0.0023379182297228545, 'ltable_id': -0.002549276765271647, 'ltable_title': -0.0017508827326396781, 'rtable_authors': -0.0010196597530417728, 'rtable_title': 0.008762268244692652}",0.0,0.5527667800197378,0.0,[1.0000000e+00 3.5600954e-14],2036-47255,mojito-d
24,"{'ltable_title': 0.0016606282275850911, 'ltable_year': -0.0009875547255340433, 'rtable_id': -0.006581813368522586, 'rtable_title': -0.0021156873506743144, 'rtable_venue': 0.00442603755666908, 'rtable_year': 0.002893289364553869}",0.0,0.5082128260401078,0.0,[0.99474406 0.0052559 ],2588-7916,mojito-d
