,explanation,label,latency,match,prediction,row,type
0,"{'ltable_addr': -0.0274357210545078, 'ltable_city': 0.04257209113841732, 'ltable_class': -0.04460731935550245, 'ltable_id': 0.07631806505741412, 'ltable_phone': 0.07074470406845691, 'rtable_addr': -0.04878232962546029, 'rtable_city': -0.00475058433683841, 'rtable_class': -0.1848809176771921, 'rtable_name': -0.043391226776698454, 'rtable_phone': -0.02087031500851922}",0.0,3.59743838198483,0.0,[0.94547825 0.05452175],6-230,mojito-d
1,"{'ltable_addr': -0.020613653974250523, 'ltable_city': -0.17353448042485656, 'ltable_class': 0.1799418588825552, 'ltable_id': 0.18781775357090716, 'ltable_name': 0.06220399265871206, 'ltable_phone': -0.11641546707375454, 'ltable_res_type': 0.09677384695613388, 'rtable_addr': 0.17253602564620227, 'rtable_name': 0.03558482284635477, 'rtable_phone': 0.09080623654233075}",1.0,3.200117646018043,1.0,[0.10344958 0.89655042],22-240,mojito-d
2,"{'ltable_addr': -0.004769906449645794, 'ltable_class': -0.16364246754908096, 'ltable_id': 0.0449601411946149, 'ltable_name': 0.05215659346162951, 'ltable_phone': 0.031489999410122885, 'ltable_res_type': -0.05736848810253441, 'rtable_addr': 0.03315452307698652, 'rtable_city': -0.01281425465837783, 'rtable_class': -0.13384387064851921, 'rtable_name': 0.025604543767730945, 'rtable_phone': 0.049521001738485275}",0.0,3.035987096023746,0.0,[0.95767652 0.04232348],501-214,mojito-d
3,"{'ltable_addr': -0.18726667553290835, 'ltable_city': -0.010056420233009296, 'ltable_class': 0.13709627095807891, 'ltable_id': 0.20461966908708537, 'ltable_name': 0.04639159038928936, 'ltable_phone': -0.16414997396475925, 'ltable_res_type': 0.09783625725115991, 'rtable_addr': 0.0914670958278949, 'rtable_class': 0.12357909609308561, 'rtable_name': 0.059453304889317486, 'rtable_res_type': 0.15224168833095647}",1.0,3.20453320001252,1.0,[0.04889101 0.95110899],38-256,mojito-d
4,"{'ltable_addr': 0.09349154643895036, 'ltable_city': 0.03229544843376019, 'ltable_class': -0.14816919893845856, 'ltable_id': -0.030424766877444727, 'ltable_name': -0.03100544115924014, 'rtable_addr': -0.04832897028356901, 'rtable_class': -0.04708029532828588, 'rtable_name': -0.018519462639656953, 'rtable_phone': -0.0360951885429526}",0.0,3.324451154912822,0.0,[0.95131497 0.04868503],70-130,mojito-d
5,"{'ltable_addr': -0.03213222005093542, 'ltable_city': 0.05467084538632865, 'ltable_class': -0.12005280200479071, 'ltable_name': -0.01908275651829234, 'rtable_addr': 0.012579653021450503, 'rtable_class': -0.27051426111914684, 'rtable_name': 0.019661812905979813}",0.0,2.907650809036568,0.0,[0.94067006 0.05932994],384-300,mojito-d
6,"{'ltable_addr': -0.0251599186126158, 'ltable_city': -0.026732878406839664, 'ltable_class': -0.13059709858131713, 'ltable_name': -0.049499222827389694, 'rtable_addr': -0.03434816084192607, 'rtable_city': -0.023881628889715945, 'rtable_class': -0.017969722814396995, 'rtable_res_type': 0.016359493586168998}",0.0,2.851111919968389,0.0,[0.94608797 0.05391203],76-26,mojito-d
7,"{'ltable_addr': -0.03875102244799076, 'ltable_city': 0.021453949122844634, 'ltable_class': -0.12513479847988232, 'ltable_name': 0.04600279078359732, 'ltable_phone': 0.0011505767934975122, 'rtable_city': -0.03392394368904826, 'rtable_class': -0.20938761045885634, 'rtable_id': -0.04708538117833952, 'rtable_name': 0.01963356628102928, 'rtable_res_type': -0.03919015218058163}",0.0,3.8977688929298893,0.0,[0.94749091 0.05250909],147-23,mojito-d
8,"{'ltable_addr': 0.04233807540908082, 'ltable_class': 0.137366588710418, 'ltable_id': 0.15807212756603634, 'ltable_name': 0.14736868875194117, 'ltable_phone': -0.048438454001014083, 'rtable_class': 0.10348776363239101, 'rtable_name': 0.0013434946283051308, 'rtable_phone': 0.0891153313333798, 'rtable_res_type': 0.06751435557412656}",1.0,3.2520614969544113,1.0,[0.05244851 0.94755149],83-301,mojito-d
9,"{'ltable_city': -0.064654990505263, 'ltable_class': -0.1311299074384429, 'ltable_name': 0.017958030310838417, 'ltable_phone': 0.022232792795603255, 'rtable_addr': -0.12738175660438916, 'rtable_class': -0.12150982013777718, 'rtable_id': -0.04250851482975387, 'rtable_name': 0.020445876742022372}",0.0,3.4450134289218113,0.0,[0.92831267 0.07168733],90-148,mojito-d
