,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",39.95,sanus visionmount flat panel tv wall mount vmpl3b,nan,35.99,0
1,sony blu-ray disc player bdps550,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,nan,canon pixma mx700 multifunction photo printer 2186b002,photo viewer 9 ' lcd,nan,0
2,canon silver 8.0 megapixel powershot digital camera sd1100is,"samsung 46 ' series 5 lcd black flat panel hdtv ln46a550 full 1080p high definition resolution 16:9 widescreen aspect ratio 30,000:1 dynamic contrast ratio 5ms response time srs trusurround xt audio built-in digital tuner ( atsc/clear qam ) picture-in-picture sound leveler 3 hdmi slots swivel stand black finish",89.0,sanus visionmount flat panel tv wall mount vmpl3b,nan,169.99,0
3,canon deluxe grey leather case 2349b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,69.0,canon pixma mx700 multifunction photo printer 2186b002,"canon dc310 dvd camcorder w / 41x advanced zoom , built-in lens cover , image stabilization , & canon exclusive - digic dv ii",nan,1
4,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,39.0,sanus visionmount flat panel tv wall mount vmpl3b,nan,639.95,0
5,canon silver 8.0 megapixel powershot digital camera sd1100is,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting white finish,89.0,sanus visionmount flat panel tv wall mount vmpl3b,nan,169.99,0
6,canon deluxe grey leather case 2349b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,69.0,canon pixma mx700 multifunction photo printer 2186b002,nan,nan,0
7,canon deluxe grey leather case 2349b001,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",nan,canon pixma mx700 multifunction photo printer 2186b002,9.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd,278.95,0
8,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,steel 280 lb,nan,1
9,lg 2.0 cu . ft. over-the-range white microwave oven lmvm2085wh,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",39.0,sanus visionmount flat panel tv wall mount vmpl3b,nan,639.95,0
