,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': -8.560196802774551e-10, 'ltable_title': 5.007807940661542e-11, 'ltable_venue': -8.344847516985725e-10, 'ltable_year': -3.6765832331613896e-10, 'rtable_authors': 2.8897381388037008e-09, 'rtable_title': 4.900235484171112e-10, 'rtable_venue': -4.903120144760159e-10, 'rtable_year': 2.3695781191724506e-10}",0.0,37.59808918699855,0.0,[0.95108557 0.04891443],1496-1225,landmark
1,"{'ltable_authors': 1.8035699061805508e-09, 'ltable_title': 1.3178292281864572e-09, 'ltable_venue': -2.632652638588833e-10, 'ltable_year': 1.0769990870762486e-09, 'rtable_authors': -2.4795681257831963e-09, 'rtable_title': -5.899395899290047e-10, 'rtable_venue': 2.0190144009560698e-10, 'rtable_year': -1.2067354150401247e-09}",0.0,33.86950999702094,0.0,[0.95237429 0.04762571],561-1957,landmark
2,"{'ltable_authors': 2.140036292959988e-09, 'ltable_title': 5.330451223868074e-10, 'ltable_venue': -1.7096928033305256e-11, 'ltable_year': 6.987631131464277e-10, 'rtable_authors': -1.6686672077987865e-09, 'rtable_title': -1.512452901537426e-09, 'rtable_venue': 2.6348266029276984e-10, 'rtable_year': -9.740772157266065e-10}",0.0,45.6433122039889,0.0,[0.94425869 0.05574131],1799-1307,landmark
3,"{'ltable_authors': 2.0438657981188496e-09, 'ltable_title': -8.951356843837065e-10, 'ltable_venue': 2.2681440394038494e-10, 'ltable_year': 1.8036958507384186e-09, 'rtable_authors': 1.7036495195533453e-10, 'rtable_title': -4.178923035784928e-09, 'rtable_venue': 3.516677588255634e-09, 'rtable_year': -6.528854197685678e-10}",0.0,43.29832967801485,0.0,[0.9472364 0.0527636],1116-1205,landmark
4,"{'ltable_authors': 6.228577512357452e-09, 'ltable_title': 6.687383335370562e-10, 'ltable_venue': 1.247444544409331e-10, 'ltable_year': -2.017038264943445e-09, 'rtable_authors': 2.586046050873023e-09, 'rtable_title': -2.3822425187849617e-09, 'rtable_venue': -4.4662627226803646e-09, 'rtable_year': -2.1557481412783798e-10}",0.0,48.43415879399981,0.0,[0.93805577 0.06194423],2009-679,landmark
5,"{'ltable_authors': -1.297001288862618e-32, 'ltable_title': -9.90597935775145e-33, 'ltable_venue': 1.2207270376150475e-32, 'ltable_year': 1.2918293092237908e-33, 'rtable_authors': 2.1422541039458527e-32, 'rtable_title': -7.26858345973934e-33, 'rtable_venue': 8.550508277495526e-33, 'rtable_year': 2.3404916496504622e-33}",0.0,36.89226543100085,0.0,[0.94549339 0.05450661],1496-991,landmark
6,"{'ltable_authors': 2.149287202178718e-35, 'ltable_title': 3.7348874549182594e-33, 'ltable_venue': 2.7739788407354937e-33, 'ltable_year': -1.076864342331945e-33, 'rtable_authors': 3.1923759044141444e-33, 'rtable_title': -1.3064186983903748e-33, 'rtable_venue': -7.226803020322466e-33, 'rtable_year': -6.193068213601038e-34}",0.0,42.74795256892685,0.0,[0.94590764 0.05409236],69-591,landmark
7,"{'ltable_authors': -6.491380916124857e-10, 'ltable_title': 1.6833621081063525e-09, 'ltable_venue': -5.103630673392715e-10, 'ltable_year': -4.56685588518788e-10, 'rtable_authors': 1.2425444439044292e-09, 'rtable_title': -8.890964116691528e-10, 'rtable_venue': -2.1436284474723688e-09, 'rtable_year': 1.8277329624915587e-10}",0.0,36.37980340095237,0.0,[0.958724 0.041276],729-2227,landmark
8,"{'ltable_authors': 4.577521601523026e-33, 'ltable_title': -9.394700560039927e-33, 'ltable_venue': 2.220395147817386e-33, 'ltable_year': 3.4692254947038006e-34, 'rtable_authors': 9.115164511693853e-33, 'rtable_title': 5.160890068260906e-33, 'rtable_venue': 1.7207712237979018e-33, 'rtable_year': 5.989603046842096e-35}",0.0,38.792701071011834,0.0,[0.95828088 0.04171912],35-590,landmark
9,"{'ltable_authors': 2.4140903292289206e-33, 'ltable_title': 8.518475070883211e-33, 'ltable_venue': 6.959574741722203e-33, 'ltable_year': 5.634894995784924e-33, 'rtable_authors': -5.475516823453684e-33, 'rtable_title': 2.5982504269780615e-33, 'rtable_venue': 6.5103238130317e-33, 'rtable_year': -5.528489570173433e-33}",0.0,31.774532993906178,0.0,[0.94621916 0.05378084],314-1074,landmark
