,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': 0.4512359343379658, 'ltable_title': -0.26298953848183226, 'ltable_venue': -0.15278665183420773, 'ltable_year': 0.06949216634325414, 'rtable_authors': 0.31682442353104284, 'rtable_title': 0.024878555424483768, 'rtable_venue': -0.6983769299523979, 'rtable_year': 0.20342894696559827}",0.0,1.761827701004222,1.0,[2.6941436e-05 9.9997306e-01],1496-1225,landmark
1,"{'ltable_authors': 0.7146940115534636, 'ltable_title': -0.1304976805906466, 'ltable_venue': 0.11655673475829367, 'ltable_year': 0.011048732169329183, 'rtable_authors': 0.780095076155006, 'rtable_title': 0.5392170792242125, 'rtable_venue': -0.2474364733924036, 'rtable_year': 0.004476469527135998}",0.0,1.5639716050354764,1.0,[4.2074776e-06 9.9999583e-01],574-749,landmark
2,"{'ltable_authors': -0.034651920088878525, 'ltable_title': -0.016104730346805804, 'ltable_venue': 0.009814958438507894, 'ltable_year': 0.007965029368845317, 'rtable_authors': 0.0035980625750049755, 'rtable_title': 0.01754951186006326, 'rtable_venue': 0.005079603744281466, 'rtable_year': 0.001328867877241224}",0.0,1.7158931190497242,0.0,[9.9980265e-01 1.9732965e-04],561-1957,landmark
3,"{'ltable_authors': 0.08403228608065165, 'ltable_title': -0.07261737432033004, 'ltable_venue': 0.0777626051776755, 'ltable_year': 0.04528148607464554, 'rtable_authors': -0.004202000496943026, 'rtable_title': -0.26972536216564597, 'rtable_venue': -0.09216824333879764, 'rtable_year': 0.032563356009871834}",0.0,1.636271069990471,1.0,[0.12137783 0.8786221 ],1799-1307,landmark
4,"{'ltable_authors': -0.00831647894316967, 'ltable_title': -0.0067477475934648885, 'ltable_venue': 0.002444173114036397, 'ltable_year': -0.0009392649990401108, 'rtable_authors': 0.0008166901002947672, 'rtable_title': 0.010666789518239215, 'rtable_venue': -0.005866850226908874, 'rtable_year': -0.0006311344823554069}",0.0,2.004973447008524,0.0,[9.999993e-01 7.029695e-07],1116-1205,landmark
5,"{'ltable_authors': -0.00024202739113637117, 'ltable_title': 7.101918319340823e-05, 'ltable_venue': 0.00013854571396621632, 'ltable_year': -2.7456522926157074e-05, 'rtable_authors': 1.997857630693399e-05, 'rtable_title': -0.0002483268769187975, 'rtable_venue': 0.00021253386865904635, 'rtable_year': -5.386535020062825e-05}",0.0,1.9434247059980407,0.0,[1.0000000e+00 5.2966207e-14],2009-679,landmark
6,"{'ltable_authors': 0.052810626609654146, 'ltable_title': 0.0527056632315536, 'ltable_venue': -0.04942074223321871, 'ltable_year': -0.021060277164073424, 'rtable_authors': -0.08804103849160859, 'rtable_title': 0.032767197599899114, 'rtable_venue': -0.039865329541925267, 'rtable_year': -0.010173551573905705}",0.0,1.8620318510220386,1.0,[0.14055085 0.85944915],1496-991,landmark
7,"{'ltable_authors': -0.010479164380529631, 'ltable_title': -0.0024276929579924566, 'ltable_venue': -0.002224906925324776, 'ltable_year': -0.0012805515798732484, 'rtable_authors': 0.0013240032084993892, 'rtable_title': 0.0008041868784546152, 'rtable_venue': 0.0042543797655701905, 'rtable_year': 0.0028011862413948015}",0.0,1.5950180950458162,0.0,[0.9981558  0.00184427],69-591,landmark
8,"{'ltable_authors': -0.033213770908451956, 'ltable_title': -0.01653605706464537, 'ltable_venue': 0.007925097870060864, 'ltable_year': -0.0019972807795178146, 'rtable_authors': -0.020051113958527003, 'rtable_title': 0.030823558717541003, 'rtable_venue': 0.018980792709203963, 'rtable_year': 0.009216479309481742}",0.0,1.6332735840114765,0.0,[0.99881613 0.00118392],729-2227,landmark
9,"{'ltable_authors': -0.032323809890600415, 'ltable_title': -0.06527203551767145, 'ltable_venue': -0.022147219016888472, 'ltable_year': -0.016174754866389168, 'rtable_authors': -0.01775007800612971, 'rtable_title': 0.09494586760585054, 'rtable_venue': 0.034934471840030686, 'rtable_year': -0.017531957111246704}",0.0,1.9085783199989237,0.0,[0.9980305  0.00196949],35-590,landmark
