,explanation,label,latency,match,prediction,row,type
0,"{'ltable_id': 0.07470221092422569, 'ltable_price': 0.0022557184754266463, 'ltable_title': -0.002570320462666795, 'rtable_id': 0.06780969670791577, 'rtable_title': -0.03876244506222875}",0.0,0.6135890110017499,0.0,[1.0000000e+00 1.8655427e-12],393-831,mojito-d
1,"{'ltable_id': 0.1122604466955726, 'ltable_manufacturer': 0.01548514099546807, 'ltable_price': -0.0461680695243207, 'ltable_title': 0.02936394726202593, 'rtable_id': 0.10501439437637386, 'rtable_price': -0.00562688508129669, 'rtable_title': 0.16156943950398767}",0.0,0.6073403820046224,1.0,[7.8950040e-07 9.9999917e-01],559-324,mojito-d
2,"{'ltable_id': 0.004103155935632298, 'ltable_manufacturer': -0.06823014763029855, 'ltable_price': 0.11919318682389261, 'ltable_title': -0.013198209590981192, 'rtable_price': 0.08054779628134515, 'rtable_title': -0.06033557147129005}",0.0,0.5934161750046769,0.0,[9.9999428e-01 5.7067973e-06],558-3023,mojito-d
3,"{'ltable_id': -0.09777862167301954, 'ltable_manufacturer': 0.10164343759795016, 'ltable_price': 0.11870211587219774, 'ltable_title': 0.0034515286675386087, 'rtable_price': 0.1207273875689614, 'rtable_title': -0.0481204656163503}",0.0,0.5921523709985195,0.0,[1.0000000e+00 1.6182013e-12],762-1618,mojito-d
4,"{'ltable_manufacturer': -0.00897521754484529, 'ltable_price': -0.012018570321621137, 'ltable_title': -0.0014690264131440758, 'rtable_price': 0.016519235232899793, 'rtable_title': -0.00715860788945237}",0.0,0.6142829539894592,0.0,[1.0000000e+00 1.7733135e-14],1262-2860,mojito-d
5,"{'ltable_manufacturer': -0.013433648309752633, 'ltable_title': -0.0012835714095967058, 'rtable_id': 0.028188075340607632, 'rtable_title': -0.02115411918317181}",0.0,0.5784876660036389,0.0,[1.0000000e+00 1.3142944e-08],971-2804,mojito-d
6,"{'ltable_manufacturer': -0.035898122361979964, 'ltable_title': -0.03066294351349512, 'rtable_id': -0.029852844536588072, 'rtable_price': 0.04139716423802152, 'rtable_title': -0.005182165876049882}",0.0,0.629320109001128,0.0,[1.0000000e+00 5.7535477e-08],654-1183,mojito-d
7,"{'ltable_id': -0.0315787223473899, 'ltable_manufacturer': 0.055655597915871824, 'ltable_price': -0.016128327200517267, 'ltable_title': 0.01569398222999804, 'rtable_id': 0.04974643942010276, 'rtable_price': -0.003540721567188628, 'rtable_title': -0.01894794878207478}",0.0,0.5986672520084539,0.0,[1.00000e+00 5.22755e-10],423-2847,mojito-d
8,"{'ltable_id': 0.049664317777410524, 'ltable_manufacturer': -0.042548696948470605, 'ltable_title': -0.01193688557671433, 'rtable_price': 0.051896616143625306, 'rtable_title': -0.01326702569411381}",0.0,0.5806806319887983,0.0,[1.0000000e+00 3.3283226e-12],858-1805,mojito-d
9,"{'ltable_id': 0.10920184951756153, 'ltable_price': -0.09622352576892224, 'ltable_title': 0.18895053295611114, 'rtable_id': 0.05121539678590071, 'rtable_price': 0.1522713148058072, 'rtable_title': -0.04645228153859901}",0.0,0.5966201809933409,0.0,[0.93728477 0.06271515],722-2331,mojito-d
10,"{'ltable_id': -0.033416856150951454, 'ltable_manufacturer': -0.019149099911084967, 'ltable_price': 0.02659214518611841, 'ltable_title': -0.0031388893246912727, 'rtable_price': 0.05173420140719582, 'rtable_title': -0.0013049845792506573}",0.0,0.5854748060082784,0.0,[9.9999917e-01 8.0679666e-07],1198-3033,mojito-d
11,"{'ltable_manufacturer': -0.09182026262284176, 'ltable_price': 0.08337002612957134, 'ltable_title': 0.031783808790107566, 'rtable_id': 0.05279459427154823, 'rtable_price': 0.07004037874570561, 'rtable_title': -0.02247314219778863}",0.0,0.56429360700713,0.0,[9.9960417e-01 3.9582339e-04],522-1512,mojito-d
12,"{'ltable_id': 0.08361940503085989, 'ltable_manufacturer': -0.1302092371320705, 'ltable_price': 0.10242063382339377, 'ltable_title': -0.07752861805986508, 'rtable_id': -0.030822466759574896, 'rtable_price': 0.14205546413869022, 'rtable_title': 0.0031739408714091663}",0.0,0.566256758000236,0.0,[9.9983573e-01 1.6426093e-04],561-1136,mojito-d
13,"{'ltable_id': 0.06545331787233498, 'ltable_manufacturer': 0.005363808577798539, 'ltable_title': -0.031030035513446727, 'rtable_title': -0.013161306610292961}",0.0,0.5794600280059967,0.0,[1.000000e+00 3.842209e-13],606-2867,mojito-d
14,"{'ltable_id': -0.06273285207302881, 'ltable_title': -0.01184894241969183, 'rtable_id': -0.02874513747053346, 'rtable_title': -0.004190582645611669}",0.0,0.59576226399804,0.0,[9.9990416e-01 9.5869291e-05],1170-861,mojito-d
15,"{'ltable_id': -0.03105210457635388, 'ltable_manufacturer': -8.657597064062189e-05, 'ltable_price': -0.058806008379611925, 'ltable_title': -0.03523582753026797, 'rtable_id': 0.04531279896685609, 'rtable_title': 0.011186570008931728}",0.0,0.5611676370026544,0.0,[9.990231e-01 9.769474e-04],614-945,mojito-d
16,"{'ltable_manufacturer': -0.10969683208822384, 'ltable_price': -0.02361211664521889, 'ltable_title': 0.013506995314432405, 'rtable_id': -0.04089104855061931, 'rtable_title': 0.0008822188865531868}",0.0,0.5732147689996054,0.0,[9.9985385e-01 1.4610546e-04],1241-3145,mojito-d
17,"{'ltable_id': -0.08402849408360386, 'ltable_price': 0.07092036310628717, 'ltable_title': -0.03081699804520445, 'rtable_id': 0.07007067167542091, 'rtable_manufacturer': 0.05787293240751493, 'rtable_price': 0.04712287911578503, 'rtable_title': -0.015581529003271857}",0.0,0.5327080029965146,0.0,[1.0000000e+00 2.3036863e-08],1111-2755,mojito-d
18,"{'ltable_id': -0.10322007439105965, 'ltable_manufacturer': 0.04173036012560698, 'ltable_title': 0.02689308310062092, 'rtable_id': 0.16742241099084304, 'rtable_price': -0.0614682676456717, 'rtable_title': 0.026029657131879106}",0.0,0.5423489420063561,0.0,[9.9996912e-01 3.0846702e-05],270-2177,mojito-d
