,explanation,label,latency,match,prediction,row,type
0,"{'ltable_id': 2.8136112970840973e-34, 'ltable_manufacturer': -2.778792069090828e-35, 'ltable_price': 1.0156643081000298e-34, 'ltable_title': 1.1414694446060932e-34, 'rtable_id': -1.5984692707481588e-34, 'rtable_price': 5.630418139398152e-35, 'rtable_title': 1.4587223493232684e-34}",0.0,0.6497594249958638,0.0,[0.8069166  0.19308345],559-324,mojito-c
1,"{'ltable_id': 1.0875535056368977e-13, 'ltable_manufacturer': 4.985552172866469e-13, 'ltable_price': 1.4803316203407535e-12, 'ltable_title': -1.1865711377542083e-12, 'rtable_id': -1.789489166722601e-12, 'rtable_price': 1.636592941729229e-14, 'rtable_title': 8.414543104136604e-13}",0.0,0.6831232710101176,0.0,[0.96326435 0.0367356 ],558-3023,mojito-c
2,"{'ltable_id': 8.490646885287595e-14, 'ltable_manufacturer': -1.9152100964535268e-13, 'ltable_price': 3.422304665523955e-14, 'ltable_title': 1.2788316531468073e-14, 'rtable_id': -6.531548089607565e-14, 'rtable_price': 9.44116464745228e-14, 'rtable_title': -2.404472781591335e-15}",0.0,0.7927913280000212,0.0,[9.9999988e-01 1.2213374e-07],762-1618,mojito-c
3,"{'ltable_id': 3.443284970982204e-12, 'ltable_manufacturer': -1.4883714469293996e-11, 'ltable_price': 1.9578097323854973e-11, 'ltable_title': 2.1086503890339867e-13, 'rtable_id': -1.5445375173279072e-11, 'rtable_price': 1.5824546772641086e-11, 'rtable_title': 1.4687254475488653e-13}",0.0,0.7361328519909875,0.0,[9.9988925e-01 1.1068397e-04],1262-2860,mojito-c
4,"{'ltable_id': 2.3216701228436923e-14, 'ltable_manufacturer': 2.7331802664903636e-13, 'ltable_title': 1.7009968383843395e-13, 'rtable_id': -1.7692103435847631e-13, 'rtable_price': -2.309982326491088e-13, 'rtable_title': -1.9867788865083344e-13}",0.0,0.6704845730128,0.0,[9.9998057e-01 1.9372754e-05],971-2804,mojito-c
5,"{'ltable_id': -2.6609876571915237e-16, 'ltable_manufacturer': 1.9264003626187004e-16, 'ltable_price': 4.725714166540847e-17, 'ltable_title': 3.742614470754915e-17, 'rtable_id': -2.578825496472978e-16, 'rtable_price': -2.9280813134160993e-16, 'rtable_title': -6.234308258983515e-17}",0.0,0.738823326988495,0.0,[9.9999988e-01 1.0928856e-07],654-1183,mojito-c
6,"{'ltable_id': 8.751319458271924e-12, 'ltable_manufacturer': 6.153317071950857e-12, 'ltable_price': -3.6348137149096713e-12, 'ltable_title': 1.2101793095869095e-13, 'rtable_id': -1.7293534026978063e-11, 'rtable_price': 4.808695253973815e-12, 'rtable_title': -3.095334795395999e-13}",0.0,0.7534232799953315,0.0,[0.9989943  0.00100565],423-2847,mojito-c
7,"{'ltable_id': 6.493185893925687e-10, 'ltable_manufacturer': -1.859488986420717e-09, 'ltable_price': 6.500914055634322e-10, 'ltable_title': -6.31073679766666e-10, 'rtable_id': -4.675876770133893e-10, 'rtable_price': 5.259055698309514e-10, 'rtable_title': -2.0258738540618706e-11}",0.0,0.7606027529982384,0.0,[0.96396714 0.03603283],858-1805,mojito-c
8,"{'ltable_id': 5.371789530755206e-12, 'ltable_manufacturer': -7.926665000491164e-12, 'ltable_price': -4.788683638866811e-12, 'ltable_title': -6.816790155079856e-13, 'rtable_id': -7.2129716408114046e-12, 'rtable_price': 8.114574643058878e-12, 'rtable_title': 4.470242024483274e-13}",0.0,0.7760136699944269,0.0,[9.9985063e-01 1.4939942e-04],722-2331,mojito-c
9,"{'ltable_id': 1.4456195714712326e-15, 'ltable_manufacturer': -3.643413849712531e-15, 'ltable_price': 3.946975066175617e-15, 'ltable_title': -7.476904020944435e-17, 'rtable_id': 1.0356489518174086e-14, 'rtable_price': 1.0969088337341674e-14, 'rtable_title': -3.543913380222018e-15}",0.0,0.6401519539940637,0.0,[9.9999821e-01 1.8313542e-06],1198-3033,mojito-c
