,explanation,label,latency,match,prediction,row,type
0,"{'ltable_id': -9.082954920312622e-20, 'ltable_title': -9.49457257861388e-21, 'ltable_year': 4.651306851057324e-19, 'rtable_authors': 9.596867594580154e-22, 'rtable_id': 4.1758863453324313e-20, 'rtable_title': 2.392815046030901e-20, 'rtable_venue': -9.624000482277367e-21}",0.0,0.9878486269735731,0.0,[1.0000000e+00 1.2049853e-09],1496-1225,mojito-c
1,"{'ltable_id': 1.3328548567142041e-16, 'ltable_title': 3.9187725916839874e-19, 'ltable_year': 1.7388095300604308e-16, 'rtable_authors': -1.7170435007211112e-17, 'rtable_id': 1.4475368920864295e-16, 'rtable_title': -5.035742014434176e-17, 'rtable_venue': 3.509362368437047e-17}",0.0,0.8813142260187306,0.0,[1.000000e+00 8.968325e-15],574-749,mojito-c
2,"{'ltable_authors': -1.2896347900147734e-26, 'ltable_id': -1.949335079487722e-24, 'ltable_title': -1.8042460789372028e-26, 'ltable_venue': 5.149146695832757e-25, 'ltable_year': 1.1549967722653203e-24, 'rtable_id': -1.8833191949806028e-25, 'rtable_title': -6.354464096600788e-26, 'rtable_year': 2.471686178692607e-24}",0.0,0.9598910600179806,0.0,[1.0000000e+00 1.9341932e-16],561-1957,mojito-c
3,"{'ltable_id': 5.372280372183186e-19, 'ltable_title': -5.66788986969473e-20, 'ltable_venue': 2.3517867301353756e-19, 'rtable_authors': 8.218780417545148e-19, 'rtable_id': -1.1332147838662975e-18, 'rtable_title': -6.122119639518833e-20, 'rtable_venue': 3.1344762061280006e-19, 'rtable_year': 5.246867195329814e-20}",0.0,0.9269204579759389,0.0,[1.000000e+00 7.868589e-09],1799-1307,mojito-c
4,"{'ltable_id': 4.2860466712983475e-23, 'ltable_title': -1.5875057928952116e-24, 'ltable_venue': 1.9101237323467605e-23, 'ltable_year': 5.410551700060693e-23, 'rtable_id': 1.1288374823756402e-23, 'rtable_title': -2.8369893175899425e-24}",0.0,1.0980360569665208,0.0,[1.0000000e+00 1.0121361e-28],1116-1205,mojito-c
5,"{'ltable_id': -1.4415675155855675e-17, 'ltable_title': 1.7299148386218924e-18, 'ltable_year': 1.6146766133487877e-17, 'rtable_authors': -3.387475863526753e-18, 'rtable_id': -5.305065957848699e-18, 'rtable_title': 2.014252098255578e-18, 'rtable_venue': -1.8842990454576788e-19, 'rtable_year': -2.7472328478664542e-17}",0.0,1.1444058440392837,0.0,[1.0000000e+00 3.7320658e-10],2009-679,mojito-c
6,"{'ltable_id': -5.70408129658994e-23, 'ltable_title': 3.6261782856080425e-24, 'ltable_year': -7.575345801090954e-23, 'rtable_id': 2.0618294121207717e-22, 'rtable_title': -6.852795667683755e-24, 'rtable_venue': 4.533929284856552e-23, 'rtable_year': 8.56865080254668e-23}",0.0,0.9528222059598193,0.0,[1.0000000e+00 6.8752563e-15],1496-991,mojito-c
7,"{'ltable_id': 8.573127766984175e-16, 'ltable_title': 9.197185430304838e-17, 'rtable_authors': 4.826338682884998e-16, 'rtable_id': -3.6173944982325703e-16, 'rtable_title': -2.912466625996461e-16, 'rtable_venue': -1.1628484007563288e-16, 'rtable_year': 2.490711627571109e-16}",0.0,0.889176063996274,0.0,[1.0000000e+00 7.4915226e-13],69-591,mojito-c
8,"{'ltable_id': 7.601927220076787e-27, 'ltable_title': -9.539880186161234e-28, 'ltable_venue': -4.548800861578667e-26, 'ltable_year': 1.468026865545273e-26, 'rtable_authors': 9.543023536153673e-27, 'rtable_id': -2.9202838066102633e-26, 'rtable_title': 3.9413663238668523e-28, 'rtable_venue': 9.61204237760066e-27}",0.0,0.8939246379886754,0.0,[9.9998569e-01 1.4312627e-05],729-2227,mojito-c
9,"{'ltable_id': 2.905361363327675e-21, 'ltable_title': -5.944631277717405e-22, 'ltable_venue': -1.1407497726180847e-20, 'ltable_year': 1.005319470276558e-20, 'rtable_id': 7.594182093508915e-21, 'rtable_title': -1.2348439264141776e-22, 'rtable_year': -5.569999921307871e-21}",0.0,1.1112555720028467,0.0,[1.0000000e+00 3.9738517e-19],35-590,mojito-c
