,explanation,label,latency,match,prediction,row,type
0,"{'ltable_brand': 0.01928858488722614, 'ltable_category': -0.020770888755464866, 'ltable_modelno': 0.00872779309595946, 'ltable_price': 0.019654405929446856, 'ltable_title': 0.017524395300051853, 'rtable_brand': -2.1897667407853264e-06, 'rtable_category': -0.041934064948984336, 'rtable_modelno': -0.022504872907013942, 'rtable_price': -0.024257470347768553, 'rtable_title': -0.007674450119172256}",0.0,1.4173078539897688,0.0,[0.95537007 0.04462985],1853-2139,landmark
1,"{'ltable_brand': 0.004040487810575729, 'ltable_category': -0.022781525187055014, 'ltable_modelno': 0.00789016015708297, 'ltable_price': 0.0010230875369772595, 'ltable_title': -0.01639549206723074, 'rtable_brand': -0.001354621890100589, 'rtable_category': 0.010931127191594954, 'rtable_modelno': 0.006197267598655317, 'rtable_price': -0.005636044687667343, 'rtable_title': -0.012293326780630056}",0.0,1.5069548420142382,0.0,[0.98712444 0.01287559],2115-8789,landmark
2,"{'ltable_brand': -0.017034576558927775, 'ltable_category': -0.033840208782653064, 'ltable_modelno': -0.016302076547573707, 'ltable_price': 0.005304723542657799, 'ltable_title': -0.029083080128714484, 'rtable_brand': -0.006818616988660953, 'rtable_category': -0.04290799206027958, 'rtable_modelno': -0.01855456934176749, 'rtable_price': -0.0010964747351185017, 'rtable_title': 0.04057125307929522}",0.0,1.407810764038004,0.0,[0.99856347 0.0014366 ],278-9064,landmark
3,"{'ltable_brand': 0.00020038390209316432, 'ltable_category': -0.002596667524191577, 'ltable_modelno': -0.00012796807027213856, 'ltable_price': -0.0018633571091356245, 'ltable_title': -0.006649111560723657, 'rtable_brand': -0.0019824842001921654, 'rtable_category': 0.00133906617582835, 'rtable_modelno': -0.002431509302908485, 'rtable_price': 0.004750041476985644, 'rtable_title': -0.005775294163624366}",0.0,1.3462164319935255,0.0,[1.0000000e+00 3.5358643e-09],2305-2948,landmark
4,"{'ltable_brand': 0.04188754965243915, 'ltable_category': -0.10945488296325044, 'ltable_modelno': -0.012791100004452183, 'ltable_price': 0.04518440573818087, 'ltable_title': -0.031229633216022852, 'rtable_brand': 0.04385011199169703, 'rtable_category': -0.08126046096473619, 'rtable_modelno': 0.0004571092101889711, 'rtable_price': -0.03966738508184331, 'rtable_title': 0.1657308781123576}",0.0,1.432547659962438,0.0,[9.9991214e-01 8.7880384e-05],1543-10366,landmark
5,"{'ltable_brand': -0.021811376143273407, 'ltable_category': -0.03434569224614981, 'ltable_modelno': 0.009188120536486571, 'ltable_price': -0.012809079432728071, 'ltable_title': -0.13276980449525674, 'rtable_brand': 0.004770551383141301, 'rtable_category': 0.013898068946663854, 'rtable_modelno': -0.1835707948109783, 'rtable_price': 0.05576568758806085, 'rtable_title': 0.47810707484021253}",1.0,1.501656405045651,0.0,[0.80892396 0.191076  ],88-3269,landmark
6,"{'ltable_brand': -0.037718935047039756, 'ltable_category': 0.025041791008829112, 'ltable_modelno': -0.018879812612966326, 'ltable_price': -0.038189993418724456, 'ltable_title': 0.02639393529332274, 'rtable_brand': -0.025046689482232543, 'rtable_category': -0.006353954865076585, 'rtable_modelno': 0.010873642205800622, 'rtable_price': -0.0034712733243499215, 'rtable_title': 0.0022109603908820673}",0.0,1.2933309290092438,0.0,[1.0000000e+00 3.0214588e-11],1718-11835,landmark
7,"{'ltable_brand': 0.4378576775197832, 'ltable_category': 0.004599449638478093, 'ltable_modelno': 0.006811727895594319, 'ltable_price': 0.007159754880347809, 'ltable_title': 0.26151342681881634, 'rtable_brand': 0.3731989365028334, 'rtable_category': -0.17576529790794093, 'rtable_modelno': -0.008219501335344194, 'rtable_price': -0.17798835042906294, 'rtable_title': 0.243738344135473}",1.0,1.2724240529933013,0.0,[9.9986827e-01 1.3166277e-04],1624-5013,landmark
8,"{'ltable_brand': 0.08509865385603826, 'ltable_category': -0.214580716702773, 'ltable_modelno': 0.017224267187203587, 'ltable_price': 0.07223093991385449, 'ltable_title': -0.085787190911824, 'rtable_brand': 0.02424067961732289, 'rtable_category': -0.7304806278555196, 'rtable_modelno': -0.019273610732412665, 'rtable_price': 0.3380762588700462, 'rtable_title': 0.20284632591052842}",0.0,1.4502509159501642,0.0,[1.0000000e+00 5.6979676e-13],614-5969,landmark
9,"{'ltable_brand': -0.0001913772356018817, 'ltable_category': 0.0019178735774871187, 'ltable_modelno': 0.00046657172931857, 'ltable_price': -0.0008601138562779902, 'ltable_title': -0.008563745051036343, 'rtable_brand': -0.0032640394085352697, 'rtable_category': -0.0004734324449973044, 'rtable_modelno': -0.0010252245247069948, 'rtable_price': -0.008848036615731615, 'rtable_title': -0.001728045996386199}",0.0,1.2170442020287737,0.0,[9.9999976e-01 2.2224575e-07],768-10397,landmark
