,explanation,label,latency,match,prediction,row,type
0,"{'ltable_authors': 0.11756048173672579, 'ltable_title': -0.19747984925734782, 'ltable_venue': -0.1294340394933511, 'ltable_year': -0.048254573325969045, 'rtable_authors': 0.2012391897139957, 'rtable_title': 0.4566454176760118, 'rtable_venue': -0.3146151855997194, 'rtable_year': -0.02584010809086633}",0.0,1.6043891980079934,0.0,[9.9999976e-01 2.0238080e-07],1496-1225,landmark
1,"{'ltable_authors': 0.2435965924952493, 'ltable_title': 0.9142288224858672, 'ltable_venue': -0.05565446425361791, 'ltable_year': 0.004940388574749717, 'rtable_authors': 0.3538153226166431, 'rtable_title': 0.04471497350873529, 'rtable_venue': 0.1188904511772111, 'rtable_year': -0.07005116743702758}",0.0,1.4801988980034366,0.0,[9.999685e-01 3.150774e-05],574-749,landmark
2,"{'ltable_authors': 0.0013367912389987413, 'ltable_title': -0.1858777073921273, 'ltable_venue': 0.006100025851937144, 'ltable_year': -0.002521301337188991, 'rtable_authors': 0.05979139604775506, 'rtable_title': 0.06934348006394635, 'rtable_venue': -0.023430299924132175, 'rtable_year': -0.00830867033437891}",0.0,1.530774190032389,0.0,[1.0000000e+00 7.6559016e-11],561-1957,landmark
3,"{'ltable_authors': 0.0041756375108198554, 'ltable_title': -0.023984388357220974, 'ltable_venue': -0.004075818875852268, 'ltable_year': 0.0011555836828013107, 'rtable_authors': 0.0063603206522956784, 'rtable_title': -0.004083623803150291, 'rtable_venue': 0.013552214464336413, 'rtable_year': -0.000462520364023761}",0.0,1.4591232690145262,0.0,[9.9999106e-01 8.9179566e-06],1799-1307,landmark
4,"{'ltable_authors': -9.02997360481315e-05, 'ltable_title': 0.00020786290480930263, 'ltable_venue': -9.755099589369614e-05, 'ltable_year': -4.284959669970113e-06, 'rtable_authors': -8.648198722246216e-05, 'rtable_title': -0.0003947765602987126, 'rtable_venue': -3.685279229639349e-05, 'rtable_year': 3.2414225022163166e-06}",0.0,1.7337753700558096,0.0,[1.0000000e+00 1.1187032e-17],1116-1205,landmark
5,"{'ltable_authors': -0.05470438580588445, 'ltable_title': 0.31739180415001245, 'ltable_venue': 0.090102985550346, 'ltable_year': -0.029880558105635835, 'rtable_authors': 0.24133431379103787, 'rtable_title': -0.03359031012170112, 'rtable_venue': -0.1668435732599846, 'rtable_year': 0.04461410157139244}",0.0,1.6877068810281344,0.0,[9.999912e-01 8.841295e-06],2009-679,landmark
6,"{'ltable_authors': -0.0007933076251117256, 'ltable_title': -0.0015029825137300424, 'ltable_venue': 0.0009671091424776738, 'ltable_year': 0.000652064943904024, 'rtable_authors': 0.00048238801871484157, 'rtable_title': -0.0002924128257104788, 'rtable_venue': -0.0009857051023786146, 'rtable_year': 9.197620049685202e-05}",0.0,1.5670750309946015,0.0,[9.9998760e-01 1.2356508e-05],1496-991,landmark
7,"{'ltable_authors': 0.00564708243938411, 'ltable_title': -0.03300349230816191, 'ltable_venue': 0.011304380630690055, 'ltable_year': 0.004591412650579397, 'rtable_authors': -0.005689877377390634, 'rtable_title': -0.04894415792353626, 'rtable_venue': 0.014911190137189296, 'rtable_year': 0.0037126186785934167}",0.0,1.5138620889629237,0.0,[9.9999976e-01 2.3134885e-07],69-591,landmark
8,"{'ltable_authors': -0.006747148133793424, 'ltable_title': 0.0019570977174133168, 'ltable_venue': 0.0011802626514259514, 'ltable_year': -0.0001346636011702646, 'rtable_authors': -0.01968784571446299, 'rtable_title': 0.003989668827132744, 'rtable_venue': 0.013103244072037133, 'rtable_year': -0.0009632579211911764}",0.0,1.442567768972367,0.0,[9.999994e-01 5.919270e-07],729-2227,landmark
9,"{'ltable_authors': -0.000528023646208619, 'ltable_title': -0.0008679872450521344, 'ltable_venue': 0.0004356858287756227, 'ltable_year': -0.00030614422857212374, 'rtable_authors': -2.6186490384637556e-05, 'rtable_title': 0.0010974483757142594, 'rtable_venue': -0.0008112783567022542, 'rtable_year': -0.000564499273436845}",0.0,1.6920952739892527,0.0,[1.0000000e+00 6.0424825e-11],35-590,landmark
10,"{'ltable_authors': 0.6985663277530099, 'ltable_title': 0.48300866772338563, 'ltable_venue': 0.030774521703527603, 'ltable_year': -0.05999796559496307, 'rtable_authors': 0.6446009397733039, 'rtable_title': 0.774367582305774, 'rtable_venue': -0.19934849181542144, 'rtable_year': -0.06089189252045096}",1.0,1.789442594978027,1.0,[3.2375854e-05 9.9996758e-01],1683-1341,landmark
11,"{'ltable_authors': 0.0024145179131487083, 'ltable_title': -0.0019514390367320303, 'ltable_venue': 0.004338471861205267, 'ltable_year': 4.716471561704277e-06, 'rtable_authors': 0.0069064091967996994, 'rtable_title': -0.02617097480227274, 'rtable_venue': -0.00029600334008827664, 'rtable_year': 0.0036432403569131517}",0.0,1.48999328201171,0.0,[1.0000000e+00 2.1089177e-13],314-1074,landmark
