,explanation,label,latency,match,prediction,row,type
0,"{'ltable_brand': 0.003615613723137419, 'ltable_category': -0.00870355373394377, 'ltable_modelno': 0.008624492880533198, 'ltable_price': 0.003349613112563011, 'ltable_title': -0.004926360225777037, 'rtable_brand': -0.009293177316089416, 'rtable_category': -0.03167413597948271, 'rtable_modelno': -0.020254272715773385, 'rtable_price': 0.00041742858272592146, 'rtable_title': 0.05553854844047589}",0.0,1.3841610029921867,0.0,[0.6519878 0.3480122],1853-2139,landmark
1,"{'ltable_brand': 0.0017268449434100167, 'ltable_category': -0.03565335835744801, 'ltable_modelno': -0.0032682524634511175, 'ltable_price': -0.002686371614401924, 'ltable_title': 0.028409816206337916, 'rtable_brand': 0.0017030671398793368, 'rtable_category': -0.022984343935854745, 'rtable_modelno': -0.007852335683722572, 'rtable_price': 0.004956968025776337, 'rtable_title': 0.015083191087853321}",0.0,1.3482969990000129,0.0,[9.9998951e-01 1.0522998e-05],621-3167,landmark
2,"{'ltable_brand': 0.010024992056776715, 'ltable_category': 0.02879145374756928, 'ltable_modelno': -0.004227960054192792, 'ltable_price': 0.004610644542590723, 'ltable_title': -0.03896097565038262, 'rtable_brand': -0.0018514957903249226, 'rtable_category': -0.016552199677431143, 'rtable_modelno': -0.003104596388655521, 'rtable_price': 0.0034838011327586018, 'rtable_title': 0.048753221645694206}",0.0,1.530087144987192,0.0,[0.98789936 0.01210068],2115-8789,landmark
3,"{'ltable_brand': 0.015717523719936538, 'ltable_category': -0.011337417030501526, 'ltable_modelno': -0.010689492584089327, 'ltable_price': 0.012309297038907869, 'ltable_title': -0.05042057483362526, 'rtable_brand': 0.007908818438973782, 'rtable_category': -0.04546674391175462, 'rtable_modelno': -0.05672873991802094, 'rtable_price': -0.05724702572087877, 'rtable_title': 0.09904331884229546}",0.0,1.45175674703205,0.0,[0.9947242 0.0052758],278-9064,landmark
4,"{'ltable_brand': 0.10775453335540425, 'ltable_category': 0.07654993392893811, 'ltable_modelno': -0.08557953191150879, 'ltable_price': 0.06179362347102101, 'ltable_title': 0.2632909331978499, 'rtable_brand': 0.062304823561251936, 'rtable_category': 0.06990801658483822, 'rtable_modelno': -0.059702396706875493, 'rtable_price': 0.05501426282462424, 'rtable_title': 0.19512042599676022}",0.0,1.4709746559965424,0.0,[1.0000000e+00 7.2646242e-12],1673-13279,landmark
5,"{'ltable_brand': -0.005334383568632214, 'ltable_category': 0.004352741719492947, 'ltable_modelno': -0.006470678720449083, 'ltable_price': 0.03523341198609749, 'ltable_title': -0.004177150301481144, 'rtable_brand': -0.06533818331480648, 'rtable_category': -0.03648230370815267, 'rtable_modelno': 0.01828565067305839, 'rtable_price': 0.04496813241690047, 'rtable_title': -0.05455596945177106}",0.0,1.369928149972111,0.0,[1.0000000e+00 1.5682576e-10],2305-2948,landmark
6,"{'ltable_brand': 0.020569558996349428, 'ltable_category': -0.06920532628726156, 'ltable_modelno': -0.008056397765136572, 'ltable_price': 0.004671721324670528, 'ltable_title': 0.038471392809618775, 'rtable_brand': 0.04922736533181109, 'rtable_category': -0.048755018695190375, 'rtable_modelno': -0.0025700550028099085, 'rtable_price': -0.02281498917491128, 'rtable_title': 0.07637225484472747}",0.0,1.5319561929791234,0.0,[9.999987e-01 1.338188e-06],1543-10366,landmark
7,"{'ltable_brand': -0.021507761818555557, 'ltable_category': 0.14692157607559425, 'ltable_modelno': -0.0851388389893825, 'ltable_price': -0.01056997947374717, 'ltable_title': 0.1011122477131331, 'rtable_brand': 0.020298405811676724, 'rtable_category': -0.1575028363967509, 'rtable_modelno': -0.3189346244191284, 'rtable_price': -0.009193021263615936, 'rtable_title': 1.1105373462847945}",1.0,1.4520642249844968,1.0,[0.17847775 0.82152224],88-3269,landmark
8,"{'ltable_brand': -0.004734999118427551, 'ltable_category': 0.003583926871998799, 'ltable_modelno': -0.0029783386025749262, 'ltable_price': -0.0036733162890695828, 'ltable_title': 0.013639891089932073, 'rtable_brand': -0.0021784113393079345, 'rtable_category': -0.0005795623641960992, 'rtable_modelno': -0.002910078971916163, 'rtable_price': -0.0019840530835116233, 'rtable_title': -0.009611817134798948}",0.0,1.315100075036753,0.0,[9.9998283e-01 1.7119861e-05],1718-11835,landmark
9,"{'ltable_brand': 0.7411444056335916, 'ltable_category': -0.017131631814431853, 'ltable_modelno': -0.006340578294062496, 'ltable_price': -0.02999404734527832, 'ltable_title': 0.6149088535610842, 'rtable_brand': 0.5301820570330402, 'rtable_category': -0.5727210152392127, 'rtable_modelno': 0.10274737295628053, 'rtable_price': -0.18429830615238085, 'rtable_title': 1.0581865578890843}",1.0,1.2953897590050474,0.0,[0.99418783 0.00581222],1624-5013,landmark
